Date,spy
2015-10-31,
2015-11-30,0.0036553454966283816
2015-12-31,-0.017282500799514877
2016-01-31,-0.04978668296635269
2016-02-29,-0.0008260876535061135
2016-03-31,0.06726611479378763
2016-04-30,0.003941088140040128
2016-05-31,0.01701167030391737
2016-06-30,0.0034755318743326935
2016-07-31,0.03647168658216926
2016-08-31,0.001197199677048122
2016-09-30,5.843580030484574e-05
2016-10-31,-0.01733733833536344
2016-11-30,0.03683831773190427
2016-12-31,0.020271800234391568
2017-01-31,0.01789479054989651
2017-02-28,0.039291530897454185
2017-03-31,0.001249902368795075
2017-04-30,0.009926245465955441
2017-05-31,0.014113009760482464
2017-06-30,0.006374883685875021
2017-07-31,0.020554330491835193
2017-08-31,0.002917675681473053
2017-09-30,0.020149307810342076
2017-10-31,0.02356416393287053
2017-11-30,0.030565912285846153
2017-12-31,0.012127963644810613
2018-01-31,0.05635879353630879
2018-02-28,-0.03636007522398854
2018-03-31,-0.02741065927637243
2018-04-30,0.005168290615918059
2018-05-31,0.024308929073090235
2018-06-30,0.005750788032226728
2018-07-31,0.03704654646064487
2018-08-31,0.031919898264608726
2018-09-30,0.005945405422718375
2018-10-31,-0.0691038799863557
2018-11-30,0.01854912414126808
2018-12-31,-0.08804855150371893
2019-01-31,0.08006555524373593
2019-02-28,0.032415637619198634
2019-03-31,0.018101168920386934
2019-04-30,0.040852103367993164
2019-05-31,-0.0637712931196952
2019-06-30,0.06958635200801488
2019-07-31,0.01511963634067115
2019-08-31,-0.016743154603009458
2019-09-30,0.019457742559821467
2019-10-31,0.022104635165298703
2019-11-30,0.03619817366195299
2019-12-31,0.029055507050913976
2020-01-31,-0.000403892387799365
2020-02-29,-0.07916589304385546
2020-03-31,-0.12487119211154374
2020-04-30,0.12698352321365713
2020-05-31,0.04764538006560093
2020-06-30,0.017734350729029513
2020-07-31,0.05889245753876282
2020-08-31,0.06979638384800202
2020-09-30,-0.037443471610855816
2020-10-31,-0.024933511418206766
2020-11-30,0.10877672238791014
2020-12-31,0.037048549658350804
2021-01-31,-0.010190762168121759
2021-02-28,0.027805628454696363
2021-03-31,0.04539944166059362
2021-04-30,0.05291020341678809
2021-05-31,0.006566370410902023
2021-06-30,0.022427100726376326
2021-07-31,0.02441254472564247
2021-08-31,0.029759925772439466
2021-09-30,-0.046605421397510005
2021-10-31,0.07016343624181265
2021-11-30,-0.008034686306401806
2021-12-31,0.04624764864893027
2022-01-31,-0.05274133480597454
2022-02-28,-0.02951689710804617
2022-03-31,0.03759041825291143
2022-04-30,-0.08776909233030727
2022-05-31,0.0022571126797288343
2022-06-30,-0.08246028583589948
2022-07-31,0.09208733100510691
2022-08-31,-0.04080186226256899
2022-09-30,-0.09244589787442326
2022-10-31,0.08127569690001746
2022-11-30,0.055591518237580795
2022-12-31,-0.057628254538323875
2023-01-31,0.06288738468058197
2023-02-28,-0.02514273316926041
2023-03-31,0.03707778241533077
2023-04-30,0.01597506103490054
2023-05-31,0.004616025187306638
2023-06-30,0.06479975657726622
2023-07-31,0.03273333175049631
2023-08-31,-0.0162519519210802
2023-09-30,-0.047434530663509
2023-10-31,-0.02170853910704429
2023-11-30,0.09134375977853537
2023-12-31,0.04565532312184062
2024-01-31,0.015926459294591355
2024-02-29,0.0521868333484643
2024-03-31,0.032702107814194914
2024-04-30,-0.04031973592602622
2024-05-31,0.05057967389848517
2024-06-30,0.035280073236739096
2024-07-31,0.012109134330343219
2024-08-31,0.023365672498981693
2024-09-30,0.02100455757608799
2024-10-31,-0.008923432071036852
2024-11-30,0.05963338483966818
2024-12-31,-0.02049673966535437
