Date,spy,spmo,qqq
2015-10-31,175.7036895751953,23.3073787689209,105.34423828125
2015-11-30,176.345947265625,23.54775619506836,105.98561096191406
2015-12-31,173.29824829101562,23.049524307250977,104.29537963867188
2016-01-31,164.67030334472656,22.12932586669922,97.088134765625
2016-02-29,164.53427124023438,22.084657669067383,95.568359375
2016-03-31,175.6018524169922,23.272872924804688,102.11730194091797
2016-04-30,176.29391479492188,23.38901138305664,98.86300659179688
2016-05-31,179.29296875,23.39794921875,103.18333435058594
2016-06-30,179.91610717773438,23.26595115661621,100.83280181884766
2016-07-31,186.4779510498047,24.393402099609375,108.043212890625
2016-08-31,186.70120239257812,24.393402099609375,109.17772674560547
2016-09-30,186.7121124267578,24.514404296875,111.5944595336914
2016-10-31,183.4750213623047,24.05791473388672,109.96824645996094
2016-11-30,190.2339324951172,23.907550811767578,110.44766235351562
2016-12-31,194.09031677246094,24.703325271606445,111.69818115234375
2017-01-31,197.5635223388672,24.928895950317383,117.4395523071289
2017-02-28,205.3260955810547,25.922122955322266,122.57759857177734
2017-03-31,205.58273315429688,25.43512535095215,125.06207275390625
2017-04-30,207.62339782714844,26.099435806274414,128.47254943847656
2017-05-31,210.5535888671875,26.583574295043945,133.47955322265625
2017-06-30,211.89584350585938,26.991260528564453,130.3855743408203
2017-07-31,216.251220703125,27.619176864624023,135.6809844970703
2017-08-31,216.88217163085938,27.91311264038086,138.4944305419922
2017-09-30,221.252197265625,28.251344680786133,138.08554077148438
2017-10-31,226.4658203125,30.449186325073242,144.44627380371094
2017-11-30,233.38795471191406,31.24498176574707,147.29440307617188
2017-12-31,236.21847534179688,31.561098098754883,148.18275451660156
2018-01-31,249.53146362304688,33.86329650878906,161.15916442871094
2018-02-28,240.45848083496094,33.69361877441406,159.0757598876953
2018-03-31,233.8673553466797,32.36127471923828,152.58729553222656
2018-04-30,235.0760498046875,32.818851470947266,153.35916137695312
2018-05-31,240.79049682617188,34.11625671386719,162.05911254882812
2018-06-30,242.17523193359375,34.11219024658203,163.9147491455078
2018-07-31,251.14698791503906,35.318321228027344,168.49847412109375
2018-08-31,259.16357421875,36.89272689819336,178.23876953125
2018-09-30,260.70440673828125,37.396949768066406,177.73684692382812
2018-10-31,242.688720703125,33.72966766357422,162.45907592773438
2018-11-30,247.1903839111328,34.2647819519043,162.02859497070312
2018-12-31,225.42562866210938,31.271604537963867,147.99575805664062
2019-01-31,243.47445678710938,34.1347770690918,161.3312530517578
2019-02-28,251.36683654785156,35.47698211669922,166.1570281982422
2019-03-31,255.9168701171875,36.47593688964844,172.67796325683594
2019-04-30,266.3716125488281,36.852970123291016,182.1739959716797
2019-05-31,249.38475036621094,35.940086364746094,167.1898651123047
2019-06-30,266.738525390625,37.67474365234375,179.87966918945312
2019-07-31,270.7715148925781,37.99915313720703,184.07948303222656
2019-08-31,266.2379455566406,37.85372543334961,180.5828094482422
2019-09-30,271.4183349609375,37.97037124633789,182.24034118652344
2019-10-31,277.4179382324219,37.86838912963867,190.22264099121094
2019-11-30,287.4599609375,38.613975524902344,197.9635467529297
2019-12-31,295.812255859375,39.379661560058594,205.65713500976562
2020-01-31,295.6927795410156,40.56360626220703,211.9058837890625
2020-02-29,272.28399658203125,37.19973373413086,199.06985473632812
2020-03-31,238.2835693359375,34.020442962646484,184.56594848632812
2020-04-30,268.5416564941406,37.799869537353516,212.20237731933594
2020-05-31,281.33642578125,40.36922836303711,226.2095947265625
2020-06-30,286.32574462890625,41.408477783203125,240.43069458007812
2020-07-31,303.18817138671875,44.582157135009766,258.093994140625
2020-08-31,324.349609375,48.36836242675781,286.34161376953125
2020-09-30,312.204833984375,47.3917121887207,269.7950439453125
2020-10-31,304.42047119140625,45.361595153808594,261.5800476074219
2020-11-30,337.5343322753906,48.85195541381836,290.9444885253906
2020-12-31,350.03948974609375,50.32729721069336,305.2077941894531
2021-01-31,346.4723205566406,50.41767120361328,306.0055236816406
2021-02-28,356.106201171875,49.69095993041992,305.5968933105469
2021-03-31,372.2732238769531,50.51150131225586,310.8432922363281
2021-04-30,391.97027587890625,53.22063064575195,329.213623046875
2021-05-31,394.5440979003906,52.80149459838867,325.2590026855469
2021-06-30,403.392578125,56.59010314941406,345.6271667480469
2021-07-31,413.24041748046875,57.850852966308594,355.5152893066406
2021-08-31,425.5384216308594,60.50779724121094,370.5133972167969
2021-09-30,405.7060241699219,57.60957717895508,349.45654296875
2021-10-31,434.1717529296875,61.85533905029297,376.937744140625
2021-11-30,430.6833190917969,60.05479049682617,384.4645690917969
2021-12-31,450.6014099121094,61.65404510498047,388.8949279785156
2022-01-31,426.8360900878906,57.72947692871094,354.87823486328125
2022-02-28,414.2372131347656,56.552207946777344,338.99395751953125
2022-03-31,429.8085632324219,58.563018798828125,354.8179016113281
2022-04-30,392.08465576171875,53.5691032409668,306.5777587890625
2022-05-31,392.9696350097656,54.402381896972656,301.71356201171875
2022-06-30,360.56524658203125,49.946998596191406,274.8372802734375
2022-07-31,393.76873779296875,53.896766662597656,309.3341369628906
2022-08-31,377.7022399902344,52.30434799194336,293.45849609375
2022-09-30,342.78521728515625,48.65609359741211,262.5411071777344
2022-10-31,370.64532470703125,55.26375198364258,273.0423583984375
2022-11-30,391.25006103515625,57.014320373535156,288.1802673339844
2022-12-31,368.7030029296875,55.21092987060547,262.2046203613281
2023-01-31,391.8897705078125,54.95811462402344,290.1108703613281
2023-02-28,382.0365905761719,52.44940948486328,289.06707763671875
2023-03-31,396.20166015625,53.37511444091797,316.5074462890625
2023-04-30,402.531005859375,54.92164993286133,318.114990234375
2023-05-31,404.38909912109375,51.897090911865234,343.194580078125
2023-06-30,430.5934143066406,55.033695220947266,364.8290100097656
2023-07-31,444.68817138671875,56.00175857543945,378.9117736816406
2023-08-31,437.46112060546875,57.32693099975586,373.29254150390625
2023-09-30,416.7103576660156,56.61997604370117,354.3297119140625
2023-10-31,407.6641845703125,55.49117660522461,347.0111083984375
2023-11-30,444.9017639160156,60.93749237060547,384.55364990234375
2023-12-31,465.2138977050781,64.90474700927734,406.0385437011719
2024-01-31,472.62310791015625,68.56539916992188,413.42523193359375
2024-02-29,497.2878112792969,76.4436264038086,435.2679138183594
2024-03-31,513.5501708984375,79.62450408935547,440.81744384765625
2024-04-30,492.8439636230469,75.28694152832031,421.53704833984375
2024-05-31,517.7718505859375,80.81558990478516,447.4692687988281
2024-06-30,536.0388793945312,86.87936401367188,476.42108154296875
2024-07-31,542.5298461914062,85.42906188964844,468.4262390136719
2024-08-31,555.2064208984375,88.65748596191406,473.5970153808594
2024-09-30,566.8682861328125,90.10693359375,486.0128479003906
2024-10-31,561.8098754882812,90.28588104248047,481.81060791015625
2024-11-30,595.3125,96.26052856445312,507.5914611816406
2024-12-31,583.1105346679688,95.13043975830078,514.2646484375
