,SPY
start,2000-01-03 00:00:00
end,2025-05-21 00:00:00
rf,0.0
total_return,5.3069861378867165
cagr,0.07526130499606265
max_drawdown,-0.5518945458187705
calmar,0.1363689957914111
mtd,0.05106937001180878
three_month,-0.0255470009654144
six_month,-0.011941039140452081
ytd,-0.002502523623455377
one_year,0.11088235875757158
three_year,0.1536228507760038
five_year,0.16283151053868883
ten_year,0.1248918160640311
incep,0.07526130499606265
daily_sharpe,0.4696440347550636
daily_sortino,0.7426790748333466
daily_mean,0.09182476189160316
daily_vol,0.19551991528965784
daily_skew,0.046550592418655036
daily_kurt,11.903917354303045
best_day,0.14519744996324202
worst_day,-0.10942363295390711
monthly_sharpe,0.5659079182119667
monthly_sortino,0.9506082144609521
monthly_mean,0.08624139939715
monthly_vol,0.15239475649967382
monthly_skew,-0.47358120117091157
monthly_kurt,0.7594372335121888
best_month,0.12698349431691924
worst_month,-0.1651863047148151
yearly_sharpe,0.5394024668961843
yearly_sortino,1.06571305148529
yearly_mean,0.09636614333914975
yearly_vol,0.1786535087495193
yearly_skew,-0.921367598020082
yearly_kurt,0.4921532943826854
best_year,0.32307768862085107
worst_year,-0.3679498040104141
avg_drawdown,-0.020097087992150563
avg_drawdown_days,31.399253731343283
avg_up_month,0.03340612620594068
avg_down_month,-0.03713086714401361
win_year_perc,0.76
twelve_month_win_perc,0.7687074829931972
