Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,RSI
2015-05-22 00:00:00-04:00,179.24615995630734,179.666846601081,179.1367901587357,179.2041015625,57433500,0.0,0.0,0.0,0.0
2015-05-26 00:00:00-04:00,178.70776801925967,179.1368768210579,176.85674845444203,177.27743530273438,124308600,0.0,0.0,0.0,0.0
2015-05-27 00:00:00-04:00,177.74020047839568,179.19577343668948,177.32792272885487,178.96018981933594,93214000,0.0,0.0,0.0,0.0
2015-05-28 00:00:00-04:00,178.64882657150656,178.86757904718468,178.0598677228809,178.75820922851562,74974600,0.0,0.0,0.0,0.0
2015-05-29 00:00:00-04:00,178.6909060166005,178.73296442045205,177.3783654255848,177.64759826660156,124919600,0.0,0.0,0.0,0.0
2015-06-01 00:00:00-04:00,178.32071878951413,178.6572630865363,177.21009950032553,178.00941467285156,93338800,0.0,0.0,0.0,0.0
2015-06-02 00:00:00-04:00,177.54660826077946,178.53101354161413,176.9155782470389,177.83267211914062,91531000,0.0,0.0,0.0,0.0
2015-06-03 00:00:00-04:00,178.37115967877915,178.93487831263496,177.80744104492334,178.30384826660156,87820900,0.0,0.0,0.0,0.0
2015-06-04 00:00:00-04:00,177.5886528959911,178.25333209537018,176.47803407575879,176.79776000976562,151882800,0.0,0.0,0.0,0.0
2015-06-05 00:00:00-04:00,176.64632934375734,177.17639865376026,175.83019618068607,176.49488830566406,121704700,0.0,0.0,0.0,0.0
2015-06-08 00:00:00-04:00,176.3855422519536,176.5369961598017,175.3338253636839,175.4095458984375,89063300,0.0,0.0,0.0,0.0
2015-06-09 00:00:00-04:00,175.38429260253906,175.93119304653914,174.74485340409987,175.38429260253906,105034700,0.0,0.0,0.0,0.0
2015-06-10 00:00:00-04:00,176.1583451583656,177.8747540887915,176.09945569613197,177.4877166748047,134551300,0.0,0.0,0.0,0.0
2015-06-11 00:00:00-04:00,177.93363126604928,178.44686951962953,177.69804775670147,178.05984497070312,73876400,0.0,0.0,0.0,45.04
2015-06-12 00:00:00-04:00,177.22692307953673,177.93367377643096,176.41919882712799,176.6968536376953,135382400,0.0,0.0,0.0,40.27
2015-06-15 00:00:00-04:00,175.54415915742354,176.22566960968038,174.82898657710896,175.93960571289062,124384200,0.0,0.0,0.0,44.29
2015-06-16 00:00:00-04:00,175.78815404348757,176.98291567623102,175.61147280313367,176.89877319335938,85308200,0.0,0.0,0.0,40.63
2015-06-17 00:00:00-04:00,177.18484497070312,177.79905687862262,176.14995914474508,177.18484497070312,126708600,0.0,0.0,0.0,42.9
2015-06-18 00:00:00-04:00,177.7906305014868,179.49861766280586,177.21850268945548,179.02745056152344,165867900,0.0,0.0,0.0,55.84
2015-06-19 00:00:00-04:00,178.78228781969193,178.85837668128576,177.85226984202177,178.23272705078125,130478700,1.03,0.0,0.0,50.91
2015-06-22 00:00:00-04:00,179.1627411828805,179.73765199252546,178.93446170220847,179.1458282470703,70696000,0.0,0.0,0.0,55.06
2015-06-23 00:00:00-04:00,179.35713475777223,179.61077710686567,178.87522590520192,179.2725830078125,68476800,0.0,0.0,0.0,53.83
2015-06-24 00:00:00-04:00,179.00211192641822,179.38256915120272,177.94527913491083,177.97064208984375,92307300,0.0,0.0,0.0,54.72
2015-06-25 00:00:00-04:00,178.47787158374436,178.60468631904075,177.35340029456435,177.4294891357422,97107400,0.0,0.0,0.0,53.69
2015-06-26 00:00:00-04:00,177.7930327955525,178.0382251507975,176.83766502391882,177.3956756591797,104174800,0.0,0.0,0.0,58.55
