Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2000-01-01,88.68181610107422,94.2020903680018,85.78267925585325,94.2020903680018,156770800
2000-02-01,87.33151245117188,91.85893055914532,84.33309080948771,88.80093762656676,186938300
2000-03-01,95.55237579345703,98.96779737210929,85.80253861253696,87.45067809525868,247594900
2000-04-01,92.43085479736328,97.5371469049497,85.04514574506481,95.63597382005885,229246200
2000-05-01,90.97757720947266,94.59080046188387,86.95624885141719,93.36648514495114,161024000
2000-06-01,92.55027770996094,95.01881598400593,91.09702533895057,91.5349918069263,127146000
2000-07-01,91.31143951416016,97.0483361182513,90.36360442304945,92.8678845058788,106780100
2000-08-01,97.27784729003906,97.75675361515925,91.07201949368991,91.71056126051683,102365500
2000-09-01,91.71060180664062,98.07606785892922,90.75278873294204,97.85656902953995,113203000
2000-10-01,91.51092529296875,93.30133469590257,83.31905210300904,92.36111970218313,178392400
2000-11-01,84.6793441772461,92.37110128477057,83.05897401935408,91.0608019595616,156699900
2000-12-01,83.97920227050781,89.3404281419933,80.35837434984037,85.25949501593718,165416700
2001-01-01,87.98188781738281,89.06062758183863,81.90913162130586,84.75849386780891,181296400
2001-02-01,79.5895004272461,88.60472667651503,78.20896840339881,88.03324939901053,178607000
2001-03-01,74.92778015136719,82.0295116468403,69.37353043776821,79.65370778962617,318187200
2001-04-01,81.5486068725586,81.94134393525273,70.37156736403661,74.87843797514712,251839700
2001-05-01,81.09146118164062,85.0446293771554,79.47543000221266,80.52488504154896,208040000
2001-06-01,78.93456268310547,83.2032081994364,77.51812060174345,81.25237923083223,203578200
2001-07-01,78.35200500488281,80.26964450579031,75.38192582895557,79.2882288808833,196892900
2001-08-01,73.70320892333984,79.57880313950082,72.34084524629812,78.75234658066539,269599600
2001-09-01,67.4337158203125,75.0074153604683,60.56379358364475,73.50946250268511,419156100
2001-10-01,68.56818389892578,72.450256330211,66.64334851133529,67.33680724224487,512612000
2001-11-01,73.91490936279297,75.76197094334513,68.5033361246929,69.0866200302753,372515000
2001-12-01,74.07695770263672,76.47489742369439,72.58634331740484,73.65569668554491,308403900
2002-01-01,73.60340881347656,76.73145454366207,70.49487194007263,74.85852986921923,349380000
2002-02-01,72.28324890136719,73.68144137370143,70.11767672060485,73.5448694676193,424492600
2002-03-01,74.47483825683594,76.67292875922521,72.51737352908839,72.65394048952002,385578100
2002-04-01,70.3446273803711,75.06644222442434,69.54243817834549,74.49904483897112,404461000
2002-05-01,69.92721557617188,72.55551804029447,68.41414789337371,70.41635390003903,452626500
2002-06-01,64.54017639160156,70.1750499747677,62.081443059040026,69.84243449238161,534883500
2002-07-01,59.66123580932617,65.31583234586083,50.83901524459837,64.91006086077657,1124248800
2002-08-01,60.06700897216797,63.58150022788446,54.680745801738446,59.477987393948816,936191200
2002-09-01,53.52884292602539,61.081390785896865,52.946367843503346,59.37977801696105,1013828600
2002-10-01,58.1931266784668,60.01413001827928,50.66588822223594,54.189557521191794,1344248100
2002-11-01,61.782535552978516,62.42021017950068,57.48970368773694,58.0813654698627,818243400
2002-12-01,58.00249099731445,63.143366489102576,57.26620008998234,62.76207271482855,728285900
2003-01-01,56.85395812988281,62.0068870108727,55.59215430054529,58.697121036385674,911319900
2003-02-01,56.087615966796875,57.34941952457846,53.511152080789266,56.90679762442682,862248300
2003-03-01,55.98190689086914,59.377552093893726,52.440921964411,56.32543806266079,1156870200
2003-04-01,60.96346664428711,61.55379899052154,56.32040006277702,56.54591801053356,996114200
2003-05-01,64.30648803710938,64.39934898975527,60.02823466271308,60.97011293128846,881509900
2003-06-01,64.75751495361328,67.77551043607119,64.12075210595258,64.69118643916678,867970200
2003-07-01,66.16305541992188,67.83394194234232,64.19260985526199,64.73847649764194,895260500
2003-08-01,67.5276870727539,67.7806477884453,64.13265939197022,66.0298825355206,772702000
2003-09-01,66.53583526611328,69.6978685543954,66.06985344463166,67.66085505074584,818513400
2003-10-01,70.36639404296875,70.814118200592,66.9583310923425,66.98506157764642,831700900
2003-11-01,71.13488006591797,71.46900351404031,69.24374522426814,70.66710927787439,630654200
2003-12-01,74.36248779296875,74.52286556445216,70.80741575212897,71.40215487393415,678350400
2004-01-01,76.19095611572266,78.21859468546934,74.34459443859784,75.02270903915364,737674000
2004-02-01,77.22490692138672,78.28572676054443,75.72096298483355,76.33865360418838,676976900
2004-03-01,75.93582916259766,78.53416577964437,73.08236074265878,77.50020249043632,1125003900
2004-04-01,74.76016998291016,77.75839548213335,74.71974615706266,76.18179944934371,968620900
2004-05-01,76.04032897949219,76.30983321000467,72.80628849407371,75.036430989708,981083900
2004-06-01,77.16548919677734,77.44173239503414,75.3732959084366,75.7708105903792,721880400
2004-07-01,74.9519271850586,77.35926441389711,73.17347744536205,77.25783078148295,954619200
2004-08-01,75.13451385498047,75.48614462420375,72.07800839401166,74.51239510066972,922892000
2004-09-01,75.57408142089844,76.9129893975077,74.66118868064103,75.02634164943926,790891900
2004-10-01,76.86642456054688,77.87139425535267,74.25215225270787,76.22813796820853,1044071300
2004-11-01,80.05108642578125,80.89987647201322,76.86642451452585,77.11087646228891,961601700
2004-12-01,82.31786346435547,82.85588932704566,80.1793838154622,80.47223320411742,909170200
2005-01-01,80.85236358642578,83.31570461993283,79.62753453804397,83.17884914998653,1184211500
2005-02-01,82.54244995117188,83.25408242629122,80.81126946230951,80.91390971535078,1025608400
2005-03-01,80.71549224853516,84.33523649409268,79.54540561816044,82.67248070977044,1330548800
2005-04-01,79.51438903808594,81.92558277791092,78.00310253074139,81.49280132350188,1633318500
2005-05-01,82.07671356201172,82.6056622742734,78.86179028007535,79.73421367954816,1334647300
2005-06-01,81.87062072753906,83.76660233119668,81.57523230827721,82.10418098225394,1089322900
2005-07-01,85.34618377685547,85.9669345199715,81.56651082927843,82.38727628646932,1176306400
2005-08-01,84.54611206054688,86.03590863343273,83.0287207179448,85.40826443856153,1306564800
2005-09-01,84.86338806152344,86.03591325372601,83.07011207138272,84.50472970619882,1287005000
2005-10-01,83.20897674560547,85.43240757287705,80.95783897314104,85.16919952038415,1784566400
2005-11-01,86.8662338256836,88.25154969027325,83.20899550413596,83.52069474440502,1183732800
2005-12-01,86.24283599853516,88.72254724672605,86.13893625735814,87.28874561525218,1073146800
2006-01-01,88.78202819824219,90.13290938614485,86.61644261483212,87.17350844620343,1233910800
2006-02-01,89.29034423828125,90.55069915103257,87.3197354503383,89.00485185648921,1145244400
2006-03-01,90.40449523925781,91.54647563610622,88.55922028777088,89.54801259790877,1350777100
2006-04-01,91.91051483154297,92.18316292124977,89.49862624299811,90.93178083449304,1300327900
2006-05-01,89.14208984375,92.84032315082537,87.219568135936,91.91052046295809,1752747100
2006-06-01,88.98126220703125,90.484319816093,85.52771367813511,89.05117099499016,2163829300
2006-07-01,89.77481079101562,89.9784461264197,85.94086170554208,89.47989286688855,1691301400
2006-08-01,91.73394775390625,92.01481899834448,88.67240404550448,89.41672248636182,1420345400
2006-09-01,93.79833221435547,94.08623204352509,90.82807814130325,92.08499072262288,1363687900
2006-10-01,97.1800765991211,98.03346618376881,93.55495461099382,94.18265047479723,1443344100
2006-11-01,99.11256408691406,99.55689198747064,95.64965184856648,97.48337613376887,1502059900
2006-12-01,99.8813247680664,101.02388081996189,98.01234503261924,99.11257542493325,1212756800
2007-01-01,101.94844055175781,102.21794250100851,99.46621765136719,100.88463073730468,1330329900
2007-02-01,99.94847106933594,103.84201881446613,98.57970766094542,102.23211696145681,1494548900
2007-03-01,100.70732116699219,101.99098317716664,96.98398710976184,98.82082931413709,2918304400
2007-04-01,105.58536529541016,106.66052167764502,100.73651431126075,101.22069321358792,1791289900
2007-05-01,109.1668472290039,109.57269274006578,105.1439300829598,105.67794476800097,2508178000
2007-06-01,107.1091079711914,109.93582677792917,105.42162492088544,109.5655843919626,3502885400
2007-07-01,104.20263671875,111.21764909348732,103.71637114656835,107.88533599547014,3988676200
2007-08-01,105.5398941040039,107.68515929926245,97.9671105834732,103.81652844508096,6195918600
2007-09-01,109.10816955566406,110.40247757865814,103.20869132763967,105.43976323859604,2967009200
2007-10-01,111.11305236816406,113.17509973828237,106.80935935255101,109.64017548498293,3850069600
2007-11-01,106.80933380126953,110.2221168165934,101.06148872282934,110.13589168547857,5472709900
2007-12-01,105.04908752441406,109.84853423146379,103.43250564850669,106.47167650553124,3293787500
2008-01-01,99.22149658203125,106.16997048875876,91.00901953640472,105.83771048868563,6106834300
2008-02-01,96.6573715209961,100.83944820259353,95.14776894793677,99.63321875542239,4151028600
2008-03-01,95.32112121582031,98.09472698233262,91.05958635623284,96.1662037061797,5462121800
2008-04-01,100.35875701904297,102.05003502357941,96.05435431603252,96.98346679672031,4014652600
2008-05-01,101.8758316040039,104.74301511975418,99.8216187259018,100.4458672014943,3646997000
2008-06-01,92.89681243896484,102.26778797093193,92.21449310624891,101.49836781306702,5408930000
2008-07-01,92.52253723144531,94.2222745022076,87.55463571401661,92.29638832240568,7156206800
2008-08-01,93.95234680175781,95.93658867853894,91.01246679662074,92.73408809761342,4344355500
2008-09-01,84.61473846435547,95.35298936515201,80.63166748360686,94.85692337155717,8105188900
2008-10-01,71.04639434814453,85.618132532961,61.324565294011364,84.57624169316192,11882352200
2008-11-01,66.10110473632812,74.00330486246158,54.544967074911675,71.00971357239814,8762237000
2008-12-01,66.21114349365234,67.81799820699466,60.062548483044125,64.20808339688655,6919927700
2009-01-01,61.26760482788086,69.86267006032942,59.21129838255015,66.89656172547863,6872039400
2009-02-01,54.684471130371094,64.89943676930055,54.59570761483015,60.33561849050486,7275092500
2009-03-01,58.81927490234375,61.61526641984122,49.63246256047605,53.64152161137569,8813959700
2009-04-01,65.12560272216797,66.31755956458645,58.353794181250805,58.502786655166155,6023006600
2009-05-01,68.93241119384766,69.80402900365824,64.60411608925672,65.14049802873953,5195735600
2009-06-01,68.50032806396484,71.5994213218166,66.19091077714737,69.78168371158824,5054855000
2009-07-01,74.02661895751953,74.79078725504156,65.17878765744457,69.179413949386,4295844600
2009-08-01,76.7611312866211,78.17708378102652,73.50219309657368,74.80576722943246,3957574800
2009-09-01,79.10607147216797,80.95655068305858,74.59600137817239,76.37905128216111,3777956700
2009-10-01,77.95479583740234,83.03585883766698,76.77297845076559,77.53325763366765,4481700800
2009-11-01,82.75733184814453,84.11227832063574,77.59346670004334,78.38385070657327,3430866200
2009-12-01,83.88646697998047,85.08333679669535,82.06480750361304,83.49503373989077,2883885800
2010-01-01,81.27304077148438,87.1382616445531,81.14438569937063,85.04192072465072,3706842300
