Date,Open,High,Low,Close,Adj Close,Volume,P.E. ratio,36months return,60months return,120months return,,,,,,,date, value
1/8/2002,911.6199951,965,833.4400024,916.0700073,916.0700073,29298400000,30.495,10.0%,10.0%,4.4%,,,,,,,1/7/1930,18.7699
1/9/2002,916.0700073,924.0200195,800.2000122,815.2800293,815.2800293,27723710000,27.1398,14.7%,13.4%,5.9%,,,,,,,1/8/1930,18.9115
1/10/2002,815.2800293,907.4400024,768.6300049,885.7600098,885.7600098,37856310000,32.1044,10.9%,11.8%,4.8%,,,,,,,1/9/1930,16.4513
1/11/2002,885.7600098,941.8200073,872.0499878,936.3099976,936.3099976,29200960000,33.9366,10.1%,9.6%,4.2%,,,,,,,1/10/1930,17.4639
1/12/2002,936.3099976,954.2800293,869.4500122,879.8200073,879.8200073,25993640000,31.8891,12.4%,10.8%,4.9%,,,,,,,1/11/1930,17.0825
1/1/2003,879.8200073,935.0499878,840.3400269,855.7000122,855.7000122,30749580000,28.2223,14.4%,10.0%,5.8%,,,,,,,1/12/1930,15.8144
1/2/2003,855.7000122,864.6400146,806.289978,841.1500244,841.1500244,25235300000,27.7424,15.0%,9.6%,6.1%,,,,,,,1/1/1931,18.2841
1/3/2003,841.1500244,895.9000244,788.9000244,848.1799927,848.1799927,30080030000,27.9743,15.1%,9.3%,6.3%,,,,,,,1/2/1931,20.375
1/4/2003,848.1799927,924.2399902,847.8499756,916.9199829,916.9199829,29669610000,26.5389,12.6%,8.6%,5.7%,,,,,,,1/3/1931,18.9659
1/5/2003,916.9199829,965.3800049,902.8300171,963.5900269,963.5900269,30952100000,27.8897,9.6%,7.8%,5.4%,,,,,,,1/4/1931,19.1013
1/6/2003,963.5900269,1015.330017,963.5900269,974.5,974.5,31219400000,28.2055,9.2%,5.6%,5.1%,,,,,,,1/5/1931,16.481
1/7/2003,974.5,1015.409973,962.0999756,990.3099976,990.3099976,31553200000,25.669,8.8%,5.1%,5.5%,,,,,,,1/6/1931,18.7722
1/8/2003,990.3099976,1011.01001,960.8400269,1008.01001,1008.01001,24881470000,26.1278,9.0%,4.9%,4.9%,,,,,,,1/7/1931,19.6143
1/9/2003,1008.01001,1040.290039,990.3599854,995.9699707,995.9699707,29940110000,25.8157,10.3%,3.2%,5.4%,,,,,,,1/8/1931,19.8
1/10/2003,995.9699707,1053.790039,995.9699707,1050.709961,1050.709961,32298500000,21.5574,9.5%,-1.6%,5.3%,,,,,,,1/9/1931,13.8714
1/11/2003,1050.709961,1063.650024,1031.199951,1058.199951,1058.199951,24463220000,21.7111,9.8%,-3.3%,5.5%,,,,,,,1/10/1931,17.2623
1/12/2003,1058.199951,1112.560059,1053.410034,1111.920044,1111.920044,27839130000,22.8133,8.5%,-4.1%,5.2%,,,,,,,1/11/1931,15.5738
1/1/2004,1111.920044,1155.380005,1105.079956,1131.130005,1131.130005,32820000000,21.7525,8.3%,-6.1%,4.7%,,,,,,,1/12/1931,13.3115
