,0
start,2022-08-01 00:00:00
end,2024-01-24 00:00:00
rf,0.0
total_return,-0.23742372758796793
cagr,-0.16723032883407152
max_drawdown,-0.3348136707438899
calmar,-0.4994728215921373
mtd,0.010897440521596247
three_month,-0.04712983777970314
six_month,-0.1085358970225847
ytd,0.010897440521596247
one_year,-0.17693107602536418
three_year,-0.16723032883407152
five_year,
ten_year,
incep,-0.16723032883407152
daily_sharpe,-0.5368390251771155
daily_sortino,-0.8704548988586011
daily_mean,-0.14938017894499453
daily_vol,0.27825879256022906
daily_skew,-0.03924768966926831
daily_kurt,9.381049540258319
best_day,0.10978187300695663
worst_day,-0.11482536427975054
monthly_sharpe,-0.37475155298628615
monthly_sortino,-0.6263066604722829
monthly_mean,-0.12864082290306747
monthly_vol,0.3432696192396433
monthly_skew,0.5016710560107127
monthly_kurt,2.4244076631388327
best_month,0.24528303192587475
worst_month,-0.2129900601724426
yearly_sharpe,-0.594168645176864
yearly_sortino,-0.6457367435995062
yearly_mean,-0.057331541845680234
yearly_vol,0.09649035221071715
yearly_skew,
yearly_kurt,
best_year,0.010897440521596247
worst_year,-0.12556052421295671
avg_drawdown,-0.17898084560951338
avg_drawdown_days,268.0
avg_up_month,0.07274578955667368
avg_down_month,-0.06914616926760614
win_year_perc,0.5
twelve_month_win_perc,0.2857142857142857
