Date,spy,upro,qqq,qld,tqqq,tlt,tmf,gld
2010-02-11,85.76476287841797,1.8377161026000977,38.92068862915039,1.661975383758545,0.4314711391925812,65.51995849609375,6.740660190582275,107.12999725341797
2010-02-12,85.69339752197266,1.8327072858810425,39.000892639160156,1.670013189315796,0.4332377314567566,65.78987121582031,6.8169355392456055,107.04000091552734
2010-02-16,87.04175567626953,1.9202951192855835,39.49999237060547,1.712057113647461,0.45001867413520813,65.91388702392578,6.877955913543701,109.62000274658203
2010-02-17,87.45421600341797,1.9470988512039185,39.722801208496094,1.7302974462509155,0.45765554904937744,65.16255950927734,6.657844543457031,109.25
2010-02-18,87.96975708007812,1.9839215278625488,39.97236633300781,1.7525560855865479,0.4663317799568176,64.89997863769531,6.544520378112793,109.9800033569336
2010-02-19,88.15218353271484,1.9969167709350586,39.95454025268555,1.7503916025161743,0.4663317799568176,65.25006103515625,6.64694881439209,109.47000122070312
2010-02-22,88.16805267333984,1.9936683177947998,39.874324798583984,1.7429721355438232,0.4630590081214905,64.98018646240234,6.596823692321777,109.06999969482422
2010-02-23,87.09727478027344,1.9219197034835815,39.35740280151367,1.6987645626068115,0.44497931003570557,65.99412536621094,6.917184352874756,107.88999938964844
2010-02-24,87.89835357666016,1.9759337902069092,39.758445739746094,1.7321522235870361,0.4584346115589142,66.15458679199219,6.934618949890137,107.36000061035156
2010-02-25,87.77941131591797,1.9693008661270142,39.74953842163086,1.7358622550964355,0.4581752121448517,66.52664184570312,7.061021327972412,108.30999755859375
2010-02-26,87.83493041992188,1.9733617305755615,39.89214324951172,1.7460633516311646,0.4638898968696594,66.86949920654297,7.165628433227539,109.43000030517578
2010-03-01,88.74705505371094,2.03279185295105,40.47145462036133,1.7952184677124023,0.4837881028652191,66.84014892578125,7.165628433227539,109.43000030517578
2010-03-02,88.99295806884766,2.046870231628418,40.596229553222656,1.8060376644134521,0.486697793006897,66.75240325927734,7.128579139709473,111.0199966430664
2010-03-03,89.07223510742188,2.05499267578125,40.64079284667969,1.810365915298462,0.4893990159034729,66.58407592773438,7.063199996948242,111.62999725341797
2010-03-04,89.34192657470703,2.0731332302093506,40.77448272705078,1.8218050003051758,0.49480247497558594,66.93531036376953,7.163447856903076,110.83000183105469
2010-03-05,90.6189193725586,2.163292169570923,41.38943862915039,1.8755968809127808,0.5166746973991394,66.05718994140625,6.873598575592041,110.80999755859375
2010-03-08,90.6347885131836,2.163022518157959,41.46965408325195,1.884252667427063,0.5194277763366699,65.71330261230469,6.779886722564697,109.87999725341797
2010-03-09,90.7854995727539,2.1738524436950684,41.70138168334961,1.9099113941192627,0.5286237001419067,65.7278823852539,6.788603782653809,109.72000122070312
2010-03-10,91.19003295898438,2.203364372253418,42.0400390625,1.9358798265457153,0.5415603518486023,65.5595932006836,6.740660190582275,108.47000122070312
2010-03-11,91.57071685791016,2.2317922115325928,42.200469970703125,1.9497917890548706,0.5465478301048279,65.80109405517578,6.7951436042785645,108.5999984741211
2010-03-12,91.57865142822266,2.230168581008911,42.209381103515625,1.9525740146636963,0.547794759273529,66.21092224121094,6.932439804077148,107.94999694824219
2010-03-15,91.60247039794922,2.233823537826538,42.10243225097656,1.9445359706878662,0.5441060066223145,66.12306213378906,6.925901412963867,108.36000061035156
2010-03-16,92.33214569091797,2.287160873413086,42.36981964111328,1.9683406352996826,0.5543921589851379,66.64991760253906,7.080634593963623,110.4000015258789
2010-03-17,92.87944793701172,2.3264200687408447,42.48566436767578,1.9754506349563599,0.5582364797592163,66.93531036376953,7.1612677574157715,109.58999633789062
2010-03-18,92.83184051513672,2.3245248794555664,42.62826919555664,1.9893625974655151,0.5639004111289978,66.7157974243164,7.09807014465332,110.33999633789062
2010-03-19,92.36195373535156,2.286754608154297,42.37042999267578,1.9664857387542725,0.5539253354072571,66.78166198730469,7.117682933807373,108.27999877929688
2010-03-22,92.85575866699219,2.3239827156066895,42.75406265258789,2.0017287731170654,0.5688878893852234,66.85482788085938,7.156910419464111,107.75
2010-03-23,93.50882720947266,2.375155210494995,43.04848861694336,2.0304789543151855,0.5807850360870361,66.5401611328125,7.035600662231445,108.31999969482422
2010-03-24,93.05485534667969,2.3409464359283447,42.843292236328125,2.011003017425537,0.5725237131118774,65.32540893554688,6.6458282470703125,106.30000305175781
2010-03-25,92.90352630615234,2.3271331787109375,42.78084945678711,2.002346992492676,0.568939745426178,64.90835571289062,6.50787353515625,106.77999877929688
2010-03-26,92.84779357910156,2.328352689743042,42.825439453125,2.0094571113586426,0.5719003677368164,65.09127044677734,6.573566913604736,108.58999633789062
2010-03-29,93.43717193603516,2.368302583694458,43.03064727783203,2.0273876190185547,0.5797457098960876,64.84246063232422,6.479409217834473,108.75
2010-03-30,93.50083923339844,2.372499704360962,43.17338943481445,2.0403716564178467,0.5858244895935059,65.0473403930664,6.551670551300049,107.97000122070312
2010-03-31,93.1822738647461,2.3463635444641113,42.96821594238281,2.023059844970703,0.57792729139328,65.49374389648438,6.683053016662598,108.94999694824219
2010-04-01,93.81944274902344,2.396200180053711,42.96821594238281,2.0212044715881348,0.5767841339111328,65.33364868164062,6.62174129486084,110.26000213623047
2010-04-05,94.58399200439453,2.452672004699707,43.36967849731445,2.057065725326538,0.5934613347053528,64.24657440185547,6.284523010253906,110.88999938964844
2010-04-06,94.80697631835938,2.4705474376678467,43.49459457397461,2.0685043334960938,0.5979809761047363,64.34939575195312,6.308610439300537,111.02999877929688
