,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,-0.09580844238372832,0.03388240453118718,-0.017645413100596308,0.1425100209408663,-0.1964663930306566,-0.10334006231425985,-0.07408095374410384,-0.04469272826255066,0.01537185759812898,0.04121159819890807,-0.08193139406977257,-0.06014237253039323,-0.39002908635890754
2014,0.19472491636371303,0.016317866298310335,0.017566931827072807,0.05958804721504607,0.08794657298532882,-0.009983805096896115,0.016102687878825073,0.1442293203894851,-0.06645209375707462,0.08062318953273095,0.09083367679909649,0.09382146443924277,0.9733945655526586
2015,0.31008817046289483,-0.1786725806231928,0.02570733458457375,-0.10299054336015956,-0.07912651950071292,-0.1249366758704713,0.13403272402037114,-0.027492327761731494,0.050991059601966704,-0.01734545456421721,-0.027116835655064175,-0.024059885144148363,-0.13726156283099722
2016,0.1774212386796501,0.08707089707165983,-0.006420273744565441,-0.023940787362896176,0.018558845252752088,0.2122533704734011,0.06073678120598647,-0.035797188136443725,-0.047782756211490196,-0.13321301153067888,-0.23906693476488505,-0.0098525261120197,-0.025192340873596897
2017,0.014925562803300041,0.044117752276798594,-0.02347443426680873,0.044337714314723,0.05166226849214972,0.019821486919499698,-0.02434362373849852,0.1012720726946843,-0.07285644953110293,-0.005270724939145932,0.017340919405197885,0.050273928706679794,0.22721652198282905
2018,-0.09769336936378537,-0.09573937117528253,0.08435852412412692,-0.06707661536821707,0.052689294694061806,0.014990865067955994,-0.047004185189992054,0.03360417631271839,-0.0876984065323213,-0.09111898742564872,0.04758896063851892,0.17932610437491037,-0.11009319865429434
2019,0.004130172429556156,-0.04524419923480738,0.16995758004242,-0.06558886556246701,0.21107263177449065,0.019076395701322246,0.0032126921217841,0.3510810184379005,-0.09065667959316437,-0.041136108232063484,-0.020088568329737155,-0.10046203888006544,0.3475129617224011
2020,0.2380030081337421,0.17911850497103865,0.1189523267871011,0.026834349568551685,-0.0647548851055536,0.005440297740844091,0.13133290581188972,-0.1489129964161925,0.02145579420374011,-0.10352577408133756,0.04239897981814145,-0.021479297481775683,0.4183996691484646
2021,-0.10842353611878364,-0.16789012857827168,-0.15401574756996306,0.06352087208646728,-0.003413081012464847,0.1337448199863016,0.10918020465801748,-0.013624032911799033,-0.09239129110084177,0.07077619091341614,0.07391611415403254,-0.06876475937450077,-0.19804540791205816
2022,-0.11798151268068302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11798151268068302
