Date,Open,High,Low,Close,Adj Close,Volume,daily pct_change,5 days pct_change,10 days pct_change,20 days pct_change,,,,,,,HS Index,daily pct_change,5 days pct_change,10 days pct_change,20 days pct_change
2/2/2005,13573.63965,13607.87988,13454.40039,13555.7998,13555.7998,321787800,-0.17%,-0.50%,-0.90%,-1.52%,,,,,,,,,,,
3/2/2005,13525.88965,13586.84961,13456.13965,13515.33008,13515.33008,404907400,-0.30%,-0.83%,-0.21%,-1.43%,,,,,,,,,,,
4/2/2005,13495.70996,13623.59961,13470.48047,13585.16992,13585.16992,425729600,0.52%,-0.48%,0.77%,0.08%,,,,,,,,,,,
7/2/2005,13749.08008,13816.86035,13749.08008,13795,13795,383247000,1.54%,0.53%,3.05%,1.95%,,,,,,,,,,,
8/2/2005,13806.55957,13863.99023,13788.33008,13845.62988,13845.62988,218206400,0.37%,1.97%,1.93%,2.49%,,,,,,,,,,,
14/2/2005,14006.54004,14043.94043,13943.45996,14017.23047,14017.23047,425991600,1.24%,3.40%,2.89%,3.33%,,,,,,,,,,,
15/2/2005,14042.37988,14065.66016,13978.24023,13995.83008,13995.83008,304097400,-0.15%,3.56%,2.69%,3.11%,,,,,,,,,,,
16/2/2005,14029.5,14044.83008,13962.48047,14015.49023,14015.49023,302049600,0.14%,3.17%,2.68%,3.86%,,,,,,,,,,,
17/2/2005,14024.12988,14037.62012,13936.62988,13967.82031,13967.82031,256355000,-0.34%,1.25%,1.79%,2.54%,,,,,,,,,,,
18/2/2005,13933.91992,14093.42969,13898.91992,14087.87012,14087.87012,323290800,0.86%,1.75%,3.75%,3.56%,,,,,,,,,,,
21/2/2005,14072.41016,14113.92969,14045.70996,14111.65039,14111.65039,282806200,0.17%,0.67%,4.10%,3.17%,,,,,,,,,,,
22/2/2005,14095.88965,14118.23047,14022.05957,14090.51953,14090.51953,296063200,-0.15%,0.68%,4.26%,4.04%,,,,,,,,,,,
23/2/2005,13933.71973,13964.75977,13907.54004,13957.94043,13957.94043,357029600,-0.94%,-0.41%,2.74%,3.54%,,,,,,,,,,,
24/2/2005,13970.63965,14060.91016,13956.13965,14060.91016,14060.91016,301496800,0.74%,0.67%,1.93%,5.03%,,,,,,,,,,,
