,0
start,2004-12-31 00:00:00
end,2024-10-07 00:00:00
rf,0.0
total_return,0.7035364525683367
cagr,0.02731529689061718
max_drawdown,-0.8869651215145716
calmar,0.030796359662907474
mtd,0.353257621585213
three_month,0.8141025817370751
six_month,0.4123517417257305
ytd,0.8184738744172533
one_year,0.297421111736085
three_year,0.050297700155761405
five_year,0.04855335026237295
ten_year,0.027858095808027672
incep,0.02731529689061718
daily_sharpe,0.6008558818260683
daily_sortino,1.2837507216021677
daily_mean,0.7522096282647857
daily_vol,1.2518969207370267
daily_skew,2.079426821645991
daily_kurt,15.977980176120624
best_day,1.1559792516603906
worst_day,-0.29572650512161525
monthly_sharpe,0.3979794904792451
monthly_sortino,0.9734331126178347
monthly_mean,0.34289334838188545
monthly_vol,0.8615854750931382
monthly_skew,1.5157204572807947
monthly_kurt,4.567923835706371
best_month,1.3457096182855564
worst_month,-0.45896897824408545
yearly_sharpe,0.24963618676649382
yearly_sortino,0.8015805996303292
yearly_mean,0.1304846100986192
yearly_vol,0.5226990997930627
yearly_skew,0.839832500218086
yearly_kurt,-0.3991067304975977
best_year,1.3025362467507908
worst_year,-0.4579999923706055
avg_drawdown,-0.32144822259352623
avg_drawdown_days,358.45
avg_up_month,0.22491327069687836
avg_down_month,-0.1373242513931706
win_year_perc,0.4
twelve_month_win_perc,0.4868421052631579
