,0
start,1999-12-31 00:00:00
end,2025-01-08 00:00:00
rf,0.0
total_return,3.028075548749362
cagr,0.05725739902657567
max_drawdown,-0.5677538774277282
calmar,0.10084897929008721
mtd,0.006226185244078808
three_month,0.029058658140715288
six_month,0.061979040579076994
ytd,0.006226185244078808
one_year,0.24240584764030992
three_year,0.08227591054889705
five_year,0.12709149825710964
ten_year,0.11117190260557597
incep,0.05725739902657567
daily_sharpe,0.38490360452135597
daily_sortino,0.6046184158588725
daily_mean,0.07461417741604787
daily_vol,0.1938515943721384
daily_skew,-0.16220585186472025
daily_kurt,10.194390025920404
best_day,0.11580036951513706
worst_day,-0.11984055240393443
monthly_sharpe,0.4414668972813708
monthly_sortino,0.7224278115119787
monthly_mean,0.06744594979974965
monthly_vol,0.1527769130938093
monthly_skew,-0.49292912631266617
monthly_kurt,0.8152060615774026
best_month,0.1268440381652789
worst_month,-0.16942452401777075
yearly_sharpe,0.40240334051956883
yearly_sortino,0.7471052889570443
yearly_mean,0.0707160365142035
yearly_vol,0.1757342183663224
yearly_skew,-0.8319183401453409
yearly_kurt,0.33258682914775406
best_year,0.2960124957332435
worst_year,-0.38485793060906714
avg_drawdown,-0.022299857825487567
avg_drawdown_days,40.75
avg_up_month,0.032055082998166215
avg_down_month,-0.03835917135260941
win_year_perc,0.6923076923076923
twelve_month_win_perc,0.7285223367697594
