,0
start,2012-12-31 00:00:00
end,2022-01-31 00:00:00
rf,0.0
total_return,56.471010122376455
cagr,0.5620054516628492
max_drawdown,-0.6992207432165207
calmar,0.8037596955112337
mtd,-0.2565381933458176
three_month,-0.20301623650768452
six_month,-0.06840441054164559
ytd,-0.2565381933458176
one_year,0.36686196522136294
three_year,0.7394228982389865
five_year,0.5880359297884805
ten_year,0.5620054516628492
incep,0.5620054516628492
daily_sharpe,1.0672233764950978
daily_sortino,1.652099425122607
daily_mean,0.6173757610723074
daily_vol,0.5784878542483307
daily_skew,-0.5545871871283141
daily_kurt,9.490577972181143
best_day,0.2698838758723372
worst_day,-0.34465165552424737
monthly_sharpe,1.155009222788187
monthly_sortino,2.2928748004858464
monthly_mean,0.5786242173884631
monthly_vol,0.5009693480989414
monthly_skew,-0.17252416720676697
monthly_kurt,0.5976076103332666
best_month,0.46452555703068565
worst_month,-0.3812987092253449
yearly_sharpe,0.9873292863622211
yearly_sortino,6.456327949381689
yearly_mean,0.6249225923161076
yearly_vol,0.6329424245264842
yearly_skew,-0.19532757806647377
yearly_kurt,-1.707181161917457
best_year,1.3973337195259714
worst_year,-0.2565381933458176
avg_drawdown,-0.062029701315052935
avg_drawdown_days,18.653333333333332
avg_up_month,0.12979985749674594
avg_down_month,-0.10420929581553734
win_year_perc,0.8
twelve_month_win_perc,0.8686868686868687
