,0
start,2004-12-31 00:00:00
end,2024-01-23 00:00:00
rf,0.0
total_return,11.299828752856335
cagr,0.1407219035714662
max_drawdown,-0.5340400708081738
calmar,0.26350439089431776
mtd,0.03408874376627846
three_month,0.19365995460914043
six_month,0.1318681829593744
ytd,0.03408874376627846
one_year,0.4756573205628569
three_year,0.09595603570284927
five_year,0.2197034760191805
ten_year,0.17971380611336452
incep,0.1407219035714662
daily_sharpe,0.7165667184582333
daily_sortino,1.14310317554352
daily_mean,0.15546261635504258
daily_vol,0.21695483804988364
daily_skew,-0.13256848661380968
daily_kurt,7.220758117409324
best_day,0.12164753204086676
worst_day,-0.11978773929928466
monthly_sharpe,0.8049761099219758
monthly_sortino,1.4441742911891957
monthly_mean,0.14949624492330782
monthly_vol,0.18571513251219107
monthly_skew,-0.39809051761743836
monthly_kurt,0.3931063388170175
best_month,0.14973727864431674
worst_month,-0.15576264384045413
yearly_sharpe,0.6485937728006017
yearly_sortino,1.4215816312765446
yearly_mean,0.16389409613970257
yearly_vol,0.25269144264523924
yearly_skew,-0.5664415258590615
yearly_kurt,0.5813046020755515
best_year,0.548555776518878
worst_year,-0.4172714326051906
avg_drawdown,-0.027370173282084496
avg_drawdown_days,26.5021645021645
avg_up_month,0.04645076036601059
avg_down_month,-0.040041877965803864
win_year_perc,0.85
twelve_month_win_perc,0.8356164383561644
