Date,spy,qld
2012-12-31,120.19551849365234,3.3939425945281982
2013-01-02,123.27616119384766,3.6131460666656494
2013-01-03,122.99761199951172,3.57970929145813
2013-01-04,123.53779602050781,3.553701400756836
2013-01-07,123.2002182006836,3.5605130195617676
2013-01-08,122.84574127197266,3.550604820251465
2013-01-09,123.15797424316406,3.566704750061035
2013-01-10,124.13709259033203,3.6106700897216797
2013-01-11,124.12866973876953,3.6224350929260254
2013-01-14,124.0442123413086,3.5883774757385254
2013-01-15,124.12866973876953,3.554321050643921
2013-01-16,124.11174011230469,3.581566333770752
2013-01-17,124.91352081298828,3.6143851280212402
2013-01-18,125.1920394897461,3.6013810634613037
2013-01-22,125.86726379394531,3.6143851280212402
2013-01-23,126.06985473632812,3.6503000259399414
2013-01-24,126.10359954833984,3.5549397468566895
2013-01-25,126.81255340576172,3.5908548831939697
2013-01-28,126.66063690185547,3.6057159900665283
2013-01-29,127.15863037109375,3.592092990875244
2013-01-30,126.66063690185547,3.595189094543457
2013-01-31,126.34835815429688,3.5741357803344727
2013-02-01,127.64808654785156,3.6577305793762207
2013-02-04,126.21331787109375,3.5295522212982178
2013-02-05,127.48773193359375,3.639153480529785
2013-02-06,127.58058166503906,3.611908435821533
2013-02-07,127.41181182861328,3.6193385124206543
2013-02-08,128.12081909179688,3.693026065826416
2013-02-11,128.09547424316406,3.6936450004577637
2013-02-12,128.3064422607422,3.6633033752441406
2013-02-13,128.4162139892578,3.6893107891082764
2013-02-14,128.5343475341797,3.684976100921631
2013-02-15,128.3824005126953,3.6670188903808594
2013-02-19,129.34458923339844,3.718414068222046
2013-02-20,127.7325210571289,3.603858470916748
2013-02-21,126.9560546875,3.526456117630005
2013-02-22,128.19674682617188,3.5964279174804688
2013-02-25,125.75751495361328,3.5066401958465576
2013-02-26,126.61845397949219,3.532028913497925
2013-02-27,128.21360778808594,3.603238582611084
2013-02-28,127.96043395996094,3.5914735794067383
2013-03-01,128.3824005126953,3.620577335357666
2013-03-04,129.06602478027344,3.654015302658081
2013-03-05,130.22238159179688,3.7642362117767334
2013-03-06,130.3996124267578,3.74318265914917
2013-03-07,130.63595581054688,3.7642362117767334
2013-03-08,131.19293212890625,3.768570899963379
2013-03-11,131.69093322753906,3.7945783138275146
2013-03-12,131.39552307128906,3.767951011657715
2013-03-13,131.58119201660156,3.7549476623535156
2013-03-14,132.28173828125,3.78157377243042
2013-03-15,132.1071319580078,3.7605206966400146
2013-03-18,131.3780517578125,3.740705728530884
2013-03-19,131.07286071777344,3.73017954826355
2013-03-20,131.98843383789062,3.7767841815948486
2013-03-21,130.8608856201172,3.696730852127075
2013-03-22,131.9121551513672,3.7656140327453613
2013-03-25,131.361083984375,3.7364470958709717
2013-03-26,132.4123077392578,3.7798871994018555
2013-03-27,132.4123077392578,3.7891955375671387
2013-03-28,132.8192138671875,3.8096742630004883
2013-04-01,132.2936553955078,3.7550644874572754
2013-04-02,132.94638061523438,3.81463885307312
2013-04-03,131.5984344482422,3.7451348304748535
2013-04-04,132.13253784179688,3.7482385635375977
2013-04-05,131.53909301757812,3.684319257736206
2013-04-08,132.4292449951172,3.7240357398986816
2013-04-09,132.88702392578125,3.7711992263793945
2013-04-10,134.51473999023438,3.920135736465454
2013-04-11,134.9556121826172,3.912688970565796
2013-04-12,134.6249237060547,3.909585952758789
2013-04-15,131.50515747070312,3.75630521774292
2013-04-16,133.44656372070312,3.856837749481201
2013-04-17,131.4967041015625,3.7060394287109375
2013-04-18,130.67440795898438,3.601783514022827
2013-04-19,131.8103485107422,3.701695442199707
2013-04-22,132.3953399658203,3.7730610370635986
2013-04-23,133.76028442382812,3.8462884426116943
2013-04-24,133.8450469970703,3.8431856632232666
2013-04-25,134.3876190185547,3.884143352508545
2013-04-26,134.15023803710938,3.8624231815338135
2013-04-29,135.0488739013672,3.932547092437744
2013-04-30,135.37095642089844,3.9871573448181152
2013-05-01,134.18414306640625,3.953646659851074
2013-05-02,135.43031311035156,4.05169677734375
2013-05-03,136.8037567138672,4.147884368896484
2013-05-06,137.1512908935547,4.178292274475098
2013-05-07,137.84649658203125,4.1733269691467285
2013-05-08,138.47384643554688,4.214905261993408
2013-05-09,138.08389282226562,4.206839084625244
2013-05-10,138.53318786621094,4.25152063369751
2013-05-13,138.6433868408203,4.265793323516846
2013-05-14,140.0760955810547,4.308612823486328
2013-05-15,140.8306121826172,4.3253679275512695
2013-05-16,140.1693572998047,4.317920684814453
2013-05-17,141.5257568359375,4.39673376083374
2013-05-20,141.5172882080078,4.384321212768555
2013-05-21,141.7207489013672,4.392388820648193
2013-05-22,140.6695556640625,4.322265148162842
2013-05-23,140.2626495361328,4.29495906829834
2013-05-24,140.1439208984375,4.294338703155518
2013-05-28,140.98324584960938,4.348948955535889
2013-05-29,140.06761169433594,4.306750297546387
2013-05-30,140.58473205566406,4.351431369781494
2013-05-31,138.56710815429688,4.27075719833374
2013-06-03,139.3300323486328,4.288754940032959
2013-06-04,138.66033935546875,4.244073867797852
2013-06-05,136.7189483642578,4.136094093322754
2013-06-06,137.95664978027344,4.166501522064209
2013-06-07,139.7115020751953,4.284409999847412
2013-06-10,139.7115020751953,4.290616035461426
2013-06-11,138.27041625976562,4.204356670379639
2013-06-12,137.12588500976562,4.106307029724121
2013-06-13,139.21139526367188,4.206839084625244
2013-06-14,138.33815002441406,4.155331134796143
2013-06-17,139.4063720703125,4.231660842895508
2013-06-18,140.50843811035156,4.301784992218018
2013-06-19,138.56710815429688,4.205597400665283
2013-06-20,135.13360595703125,4.000189304351807
