,Date,tqqq,tmf,gld,portfolio,tqqq_rb,upro_rb,tmf_rb,gld_rb,portfolio_rb
0,2010-02-11,0.8629420399665833,6.740660190582275,107.12999725341797,100.0,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
1,2010-02-12,0.8664751648902893,6.8169355392456055,107.04000091552734,100.64894160861371,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
2,2010-02-16,0.9000370502471924,6.877956867218018,109.62000274658203,103.19649950093313,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
3,2010-02-17,0.915310800075531,6.657844543457031,109.25,102.7407663261005,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
4,2010-02-18,0.9326633810997009,6.544519901275635,109.9800033569336,103.14185564910929,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
5,2010-02-19,0.9326633810997009,6.646949291229248,109.47000122070312,103.70207975278471,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
6,2010-02-22,0.9261177182197571,6.596823215484619,109.06999969482422,102.98802246165666,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
7,2010-02-23,0.889958381652832,6.917184829711914,107.88999938964844,102.68382588412707,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
8,2010-02-24,0.9168699383735657,6.934620380401611,107.36000061035156,104.29710942943207,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
9,2010-02-25,0.916350245475769,7.061019420623779,108.30999755859375,105.10574396464027,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
10,2010-02-26,0.9277796745300293,7.165628910064697,109.43000030517578,106.49329332282522,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
11,2010-03-01,0.9675760269165039,7.165628910064697,109.43000030517578,108.7991464707386,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
12,2010-03-02,0.9733943343162537,7.1285786628723145,111.0199966430664,109.06482311082306,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
13,2010-03-03,0.9787977337837219,7.063199520111084,111.62999725341797,109.04687464754932,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
14,2010-03-04,0.9896037578582764,7.16344690322876,110.83000183105469,110.19319642283718,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
15,2010-03-05,1.0333490371704102,6.873600006103516,110.80999755859375,111.00599716404358,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
16,2010-03-08,1.0388555526733398,6.779888153076172,109.87999725341797,110.68214252740098,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
17,2010-03-09,1.057247281074524,6.788604736328125,109.72000122070312,111.78457417154522,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
18,2010-03-10,1.08311927318573,6.740660190582275,108.47000122070312,112.88244135234994,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
19,2010-03-11,1.0930943489074707,6.795141696929932,108.5999984741211,113.79584564426236,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
20,2010-03-12,1.095588207244873,6.932440757751465,107.94999694824219,114.69442040983037,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
21,2010-03-15,1.0882115364074707,6.925902366638184,108.36000061035156,114.26647826624226,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
22,2010-03-16,1.1087849140167236,7.080634593963623,110.4000015258789,116.56715205326427,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
23,2010-03-17,1.116473913192749,7.161270618438721,109.58999633789062,117.41555845178415,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
24,2010-03-18,1.1277995109558105,7.098068714141846,110.33999633789062,117.76673817823509,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
25,2010-03-19,1.1078495979309082,7.117682933807373,108.27999877929688,116.53491784915136,0.8629420399665833,0,6.740660190582275,107.12999725341797,100.0
