,Date,tqqq,tmf,portfolio,tqqq_rb,tmf_rb,portfolio_rb
0,2010-02-11,0.8629420399665833,6.741122722625732,100.0,0.8629420399665833,6.741122722625732,100.0
1,2010-02-12,0.8664752840995789,6.817404270172119,100.7344062512431,0.8629420399665833,6.741122722625732,100.0
2,2010-02-16,0.9000371098518372,6.878430366516113,103.28086075216589,0.8629420399665833,6.741122722625732,100.0
3,2010-02-17,0.9153109192848206,6.658300876617432,102.78488138351986,0.8629420399665833,6.741122722625732,100.0
4,2010-02-18,0.9326633810997009,6.544968128204346,103.13430173110277,0.8629420399665833,6.741122722625732,100.0
5,2010-02-19,0.9326633810997009,6.647404193878174,103.81810814510717,0.8629420399665833,6.741122722625732,100.0
6,2010-02-22,0.9261177778244019,6.597275733947754,103.06629134706147,0.8629420399665833,6.741122722625732,100.0
7,2010-02-23,0.889958381652832,6.917659282684326,102.90035897347497,0.8629420399665833,6.741122722625732,100.0
8,2010-02-24,0.9168698787689209,6.935095310211182,104.73196863436928,0.8629420399665833,6.741122722625732,100.0
9,2010-02-25,0.9163501858711243,7.061505317687988,105.54268893858661,0.8629420399665833,6.741122722625732,100.0
10,2010-02-26,0.9277796149253845,7.166119575500488,106.96949557042615,0.8629420399665833,6.741122722625732,100.0
11,2010-03-01,0.9675759077072144,7.166119575500488,109.50593023420194,0.8629420399665833,6.741122722625732,100.0
12,2010-03-02,0.9733942747116089,7.129068851470947,109.62943637501408,0.8629420399665833,6.741122722625732,100.0
13,2010-03-03,0.9787977933883667,7.063684463500977,109.53736213000337,0.8629420399665833,6.741122722625732,100.0
14,2010-03-04,0.9896036982536316,7.1639404296875,110.89533462658348,0.8629420399665833,6.741122722625732,100.0
15,2010-03-05,1.0333491563796997,6.8740692138671875,111.748451506722,0.8629420399665833,6.741122722625732,100.0
16,2010-03-08,1.0388554334640503,6.780351638793945,111.47378995763717,0.8629420399665833,6.741122722625732,100.0
17,2010-03-09,1.0572470426559448,6.789071559906006,112.70419682346291,0.8629420399665833,6.741122722625732,100.0
18,2010-03-10,1.08311927318573,6.741122722625732,114.03309523258598,0.8629420399665833,6.741122722625732,100.0
19,2010-03-11,1.0930943489074707,6.7956085205078125,115.03257817702226,0.8629420399665833,6.741122722625732,100.0
