,tqqq,upro,tmf,gld,qld,portfolio
start,2012-01-03 00:00:00,2012-01-03 00:00:00,2012-01-03 00:00:00,2012-01-03 00:00:00,2012-01-03 00:00:00,2012-01-03 00:00:00
end,2022-01-31 00:00:00,2022-01-31 00:00:00,2022-01-31 00:00:00,2022-01-31 00:00:00,2022-01-31 00:00:00,2022-01-31 00:00:00
rf,0.0,0.0,0.0,0.0,0.0,0.0
total_return,81.80749576716663,23.97612457004465,0.5728433007415217,0.07805283678722641,27.23996901626646,10.752714762625333
cagr,0.5499650560149096,0.37616490043094863,0.045962857200162466,0.00748533498109083,0.39303842370606445,0.27698345147109826
max_drawdown,-0.6992207432165207,-0.7681682375591556,-0.5694060531302709,-0.42111629717944,-0.5171541766428469,-0.36601840224764504
calmar,0.7865399608784309,0.48969077610681694,0.08072070352516415,0.01777498289956061,0.760002416025157,0.7567473377573337
mtd,-0.2565381933458176,-0.15888820249282198,-0.11798148803758257,-0.016787612677039987,-0.17198380291992765,-0.13306228864422864
three_month,-0.20301623650768452,-0.07423702427157142,-0.11792105409369613,0.008640879052781214,-0.12810505930649396,-0.0913356523533958
six_month,-0.06840441054164559,0.05830936370319617,-0.15443444098572456,-0.010187321350335399,-0.02757261059551752,-0.04376249188629433
ytd,-0.2565381933458176,-0.15888820249282198,-0.11798148803758257,-0.016787612677039987,-0.17198380291992765,-0.13306228864422864
one_year,0.36686196522136294,0.7343918920731494,-0.2066426581176024,-0.026186224763791954,0.2778018086101919,0.1744681742014953
three_year,0.7394228982389865,0.44246283500797,0.10419688443502872,0.10447847899191132,0.5507312689294115,0.4327343654534266
five_year,0.5880359297884805,0.3534196599102697,0.07786056969441657,0.07785127142492843,0.4416210075688589,0.3361563880992624
ten_year,0.527054736600713,0.36815054007922066,0.04319263588231115,-0.0007228207807262743,0.37944059230993576,0.2678106976025476
incep,0.5499650560149096,0.37616490043094863,0.045962857200162466,0.00748533498109083,0.39303842370606445,0.27698345147109826
daily_sharpe,1.0627152158870425,0.9057568051555903,0.31414920476692304,0.1250978587282321,1.0602562829363718,1.2081255246805376
daily_sortino,1.657814827218598,1.383193116211894,0.5172093970889543,0.1970155584467211,1.6544467876713111,1.891564279999826
daily_mean,0.6032743202537381,0.4415590861849837,0.12714186669501462,0.018825513852658363,0.4063849667001151,0.2701269550591406
daily_vol,0.5676726099665265,0.4875029187433298,0.40471809180400475,0.15048629963807544,0.38328937374899114,0.22359179533978457
daily_skew,-0.5202408858802011,-0.6632420440930877,-0.0630349516201708,-0.48824869577571556,-0.5062584641119955,-0.7307717914380079
daily_kurt,9.295814800278919,19.886026119522295,5.813663575559722,6.158746394262491,10.398815198519639,6.517505088269657
best_day,0.2698838758723372,0.27965645741723044,0.20358707730155845,0.049038376152841456,0.19054071872095157,0.08857002401735503
worst_day,-0.34465165552424737,-0.34946076074620225,-0.18140718562199531,-0.0878082643808128,-0.2428097931933404,-0.11999274265599202
monthly_sharpe,1.1162189229376913,0.9841238476591017,0.29073994752121435,0.06776971290637948,1.170064233936142,1.226879082813552
monthly_sortino,2.1995019802773133,1.6982588576835873,0.6001240324825792,0.12376310950624994,2.3279813589058294,2.563641833454278
monthly_mean,0.5523577418494374,0.4079230573183187,0.10666866781210084,0.009984010178047209,0.3770676486157689,0.2619464130704725
monthly_vol,0.4948471401969509,0.4145037825154119,0.36688686477910837,0.14732259810277826,0.3222623490911251,0.21350629963448506
monthly_skew,-0.17244972947076428,-0.645958622619181,0.6297445300517851,0.2286071351929333,-0.1635844696504585,-0.03350566118816832
monthly_kurt,0.5468950980421576,2.7893147533986378,0.6975858138060005,-0.032177224247487146,0.386607839312874,0.3565165974004558
best_month,0.46452555703068565,0.37169747835965516,0.3510809025735402,0.10930343875618398,0.30587185717582943,0.21435320893784393
worst_month,-0.3812987092253449,-0.4812470450600863,-0.2390669882965012,-0.11058839427335088,-0.21122040043491797,-0.13306228864422864
yearly_sharpe,0.9873292708912338,0.8065828160177689,0.24747826530438194,0.09558207110874484,1.0450191157406699,0.9039207164071648
yearly_sortino,6.456327527894439,4.811632637613843,0.7890225632982103,0.1644132759327784,7.183201544693052,6.13509589253956
yearly_mean,0.6249225515194029,0.42335821961179365,0.09879208711371433,0.01455524346183058,0.41456857506562994,0.28313224685576777
yearly_vol,0.632942393124133,0.5248787988095039,0.3991950040227031,0.15228005935622496,0.3967090829451474,0.31322685907801767
yearly_skew,-0.1953277152716146,0.20399645300301314,1.1830081294279986,-0.37747574030408837,-0.24407101831780845,0.17909651761714404
yearly_kurt,-1.7071814253989133,-1.5878514715793766,1.4359232615188882,0.5256676535657565,-1.6429263987002263,-1.2468626939370315
best_year,1.3973334098626915,1.184936411399915,0.9733950239556539,0.24814561391482037,0.8889542354493121,0.7631347955772234
worst_year,-0.2565381933458176,-0.2511288301747795,-0.3900290440299954,-0.2832983601746558,-0.17198380291992765,-0.13306228864422864
avg_drawdown,-0.06271368695857442,-0.04457202646452183,-0.1509060607451501,-0.07412957168350517,-0.04340791861093612,-0.026204349861902898
avg_drawdown_days,20.219354838709677,17.742857142857144,181.1,331.09090909090907,18.242603550295858,18.151162790697676
avg_up_month,0.12700901033685083,0.09292420114169687,0.09045343866619475,0.03843534659040194,0.08236124648094789,0.05565839576311159
avg_down_month,-0.104360128280476,-0.0982021113939906,-0.07267532736417794,-0.028913929365833296,-0.07045558080795358,-0.045830188258605055
win_year_perc,0.8,0.7,0.4,0.4,0.8,0.7
twelve_month_win_perc,0.8727272727272727,0.8181818181818182,0.5272727272727272,0.45454545454545453,0.8909090909090909,0.9181818181818182
