,Date,qld,portfolio,qld_rb,portfolio_rb
0,2009-12-31,1.8388077020645142,100.0,1.8388077020645142,100.0
1,2010-01-04,1.8879623413085938,102.67317997357155,1.8388077020645142,100.0
2,2010-01-05,1.889198899269104,102.74042778633205,1.8388077020645142,100.0
3,2010-01-06,1.8684853315353394,101.61396047218558,1.8388077020645142,100.0
4,2010-01-07,1.8687952756881714,101.63081618540039,1.8388077020645142,100.0
5,2010-01-08,1.8990918397903442,103.27843622028266,1.8388077020645142,100.0
6,2010-01-11,1.8851796388626099,102.52184808373555,1.8388077020645142,100.0
7,2010-01-12,1.8381891250610352,99.9663598862032,1.8388077020645142,100.0
8,2010-01-13,1.882088303565979,102.35373179331756,1.8388077020645142,100.0
9,2010-01-14,1.8845614194869995,102.4882274188386,1.8388077020645142,100.0
10,2010-01-15,1.842517375946045,100.20174343828154,1.8388077020645142,100.0
11,2010-01-19,1.900328278541565,103.34567755007653,1.8388077020645142,100.0
12,2010-01-20,1.847154974937439,100.4539502887416,1.8388077020645142,100.0
13,2010-01-21,1.8109843730926514,98.4868820736054,1.8388077020645142,100.0
14,2010-01-22,1.7068021297454834,92.82113229290795,1.8388077020645142,100.0
15,2010-01-25,1.716694951057434,93.35913424389193,1.8388077020645142,100.0
16,2010-01-26,1.7204045057296753,93.56087119920686,1.8388077020645142,100.0
17,2010-01-27,1.746063470840454,94.95628438362903,1.8388077020645142,100.0
18,2010-01-28,1.658884048461914,90.21520013209692,1.8388077020645142,100.0
19,2010-01-29,1.5995277166366577,86.98722084102619,1.8388077020645142,100.0
20,2010-02-01,1.6329154968261719,88.80295068335978,1.8388077020645142,100.0
21,2010-02-02,1.6629035472869873,90.43379280062666,1.8388077020645142,100.0
22,2010-02-03,1.6820703744888306,91.47614362286457,1.8388077020645142,100.0
23,2010-02-04,1.5865434408187866,86.28109611665762,1.8388077020645142,100.0
24,2010-02-05,1.6091116666793823,87.50842542549493,1.8388077020645142,100.0
25,2010-02-08,1.5887079238891602,86.39880734159665,1.8388077020645142,100.0
26,2010-02-09,1.6214776039123535,88.18092300199993,1.8388077020645142,100.0
27,2010-02-10,1.6146764755249023,87.8110567903338,1.8388077020645142,100.0
28,2010-02-11,1.6619752645492554,90.38330993954828,1.8388077020645142,100.0
29,2010-02-12,1.670013189315796,90.82043692990818,1.8388077020645142,100.0
