,0
start,2009-04-16 00:00:00
end,2022-01-13 00:00:00
rf,0.0
total_return,1.3214687510172722
cagr,0.0683147433001261
max_drawdown,-0.5694060472266655
calmar,0.11997544394348837
mtd,-0.07675905807612371
three_month,-0.03341587486991637
six_month,-0.0368391811585661
ytd,-0.07675905807612371
one_year,-0.18029104869049994
three_year,0.13343287758830735
five_year,0.08009660090088566
ten_year,0.04752270104915124
incep,0.0683147433001261
daily_sharpe,0.3708812250231005
daily_sortino,0.6172746854462904
daily_mean,0.16355203679876246
daily_vol,0.4409822492054581
daily_skew,-0.025312083457823452
daily_kurt,3.9055586096317607
best_day,0.20358715394516902
worst_day,-0.18140717016965147
monthly_sharpe,0.3906352925820688
monthly_sortino,0.8412857921406496
monthly_mean,0.1514419877095461
monthly_vol,0.38768127351864795
monthly_skew,0.7409049689947207
monthly_kurt,0.9723775283020042
best_month,0.4135430735579304
worst_month,-0.23906708530152587
yearly_sharpe,0.39854822762572356
yearly_sortino,1.517985495742562
yearly_mean,0.17596057659202188
yearly_vol,0.4415038492085991
yearly_skew,1.1188608747593167
yearly_kurt,0.6350032462444868
best_year,1.091791239035138
worst_year,-0.39002890143533153
avg_drawdown,-0.16645630458527372
avg_drawdown_days,169.8148148148148
avg_up_month,0.09662771920134558
avg_down_month,-0.07474769005877656
win_year_perc,0.5384615384615384
twelve_month_win_perc,0.5874125874125874
