,Date,spy,portfolio,spy_rb,portfolio_rb
74,2005-04-19,83.08988952636719,inf,0.0,100
75,2005-04-20,81.9307861328125,inf,0.0,100
76,2005-04-21,83.52186584472656,inf,0.0,100
77,2005-04-22,83.20509338378906,inf,0.0,100
78,2005-04-25,83.75225067138672,inf,0.0,100
79,2005-04-26,82.93869018554688,inf,0.0,100
80,2005-04-27,83.26268768310547,inf,0.0,100
81,2005-04-28,82.21874237060547,inf,0.0,100
82,2005-04-29,83.33468627929688,inf,0.0,100
83,2005-05-02,83.80267333984375,inf,0.0,100
84,2005-05-03,83.94664764404297,inf,0.0,100
85,2005-05-04,84.59461975097656,inf,0.0,100
86,2005-05-05,84.56583404541016,inf,0.0,100
87,2005-05-06,84.29942321777344,inf,0.0,100
88,2005-05-09,84.82498168945312,inf,0.0,100
89,2005-05-10,83.94664764404297,inf,0.0,100
90,2005-05-11,84.40741729736328,inf,0.0,100
91,2005-05-12,83.47866821289062,inf,0.0,100
92,2005-05-13,83.31312561035156,inf,0.0,100
93,2005-05-16,84.09062957763672,inf,0.0,100
94,2005-05-17,84.65216827392578,inf,0.0,100
95,2005-05-18,85.52332305908203,inf,0.0,100
96,2005-05-19,85.8833236694336,inf,0.0,100
97,2005-05-20,85.76092529296875,inf,0.0,100
98,2005-05-23,86.23609924316406,inf,0.0,100
99,2005-05-24,86.03453826904297,inf,0.0,100
100,2005-05-25,85.96969604492188,inf,0.0,100
101,2005-05-26,86.43048095703125,inf,0.0,100
102,2005-05-27,86.57447052001953,inf,0.0,100
103,2005-05-31,86.0201187133789,inf,0.0,100
104,2005-06-01,86.75446319580078,inf,0.0,100
105,2005-06-02,86.9416732788086,inf,0.0,100
106,2005-06-03,86.50247955322266,inf,0.0,100
107,2005-06-06,86.42327880859375,inf,0.0,100
108,2005-06-07,86.48807525634766,inf,0.0,100
109,2005-06-08,86.3296890258789,inf,0.0,100
110,2005-06-09,86.74005889892578,inf,0.0,100
111,2005-06-10,86.53846740722656,inf,0.0,100
112,2005-06-13,86.81207275390625,inf,0.0,100
113,2005-06-14,87.013671875,inf,0.0,100
114,2005-06-15,87.17924499511719,inf,0.0,100
115,2005-06-16,87.40243530273438,inf,0.0,100
116,2005-06-17,87.72625732421875,inf,0.0,100
117,2005-06-20,87.75516510009766,inf,0.0,100
118,2005-06-21,87.80577087402344,inf,0.0,100
119,2005-06-22,87.8780746459961,inf,0.0,100
120,2005-06-23,86.6419677734375,inf,0.0,100
121,2005-06-24,86.00586700439453,inf,0.0,100
122,2005-06-27,86.12870788574219,inf,0.0,100
123,2005-06-28,86.85162353515625,inf,0.0,100
124,2005-06-29,86.62028503417969,inf,0.0,100
125,2005-06-30,86.15042877197266,inf,0.0,100
126,2005-07-01,86.4034194946289,inf,0.0,100
127,2005-07-05,87.0973892211914,inf,0.0,100
128,2005-07-06,86.36729431152344,inf,0.0,100
129,2005-07-07,86.70702362060547,inf,0.0,100
130,2005-07-08,87.69734954833984,inf,0.0,100
131,2005-07-11,88.14553833007812,inf,0.0,100
132,2005-07-12,88.3768310546875,inf,0.0,100
133,2005-07-13,88.49968719482422,inf,0.0,100
134,2005-07-14,88.8467025756836,inf,0.0,100
135,2005-07-15,88.79607391357422,inf,0.0,100
136,2005-07-18,88.44188690185547,inf,0.0,100
137,2005-07-19,88.9262466430664,inf,0.0,100
138,2005-07-20,89.22982025146484,inf,0.0,100
139,2005-07-21,88.7093505859375,inf,0.0,100
140,2005-07-22,89.3021011352539,inf,0.0,100
141,2005-07-25,89.04911804199219,inf,0.0,100
142,2005-07-26,89.15750885009766,inf,0.0,100
143,2005-07-27,89.4828109741211,inf,0.0,100
144,2005-07-28,90.04663848876953,inf,0.0,100
145,2005-07-29,89.44669342041016,inf,0.0,100
146,2005-08-01,89.38162231445312,inf,0.0,100
147,2005-08-02,89.9165267944336,inf,0.0,100
148,2005-08-03,90.15506744384766,inf,0.0,100
149,2005-08-04,89.43220520019531,inf,0.0,100
150,2005-08-05,88.82499694824219,inf,0.0,100
151,2005-08-08,88.65878295898438,inf,0.0,100
152,2005-08-09,89.19367980957031,inf,0.0,100
153,2005-08-10,89.15031433105469,inf,0.0,100
154,2005-08-11,89.50448608398438,inf,0.0,100
155,2005-08-12,88.9551010131836,inf,0.0,100
156,2005-08-15,89.50448608398438,inf,0.0,100
157,2005-08-16,88.34070587158203,inf,0.0,100
158,2005-08-17,88.33348846435547,inf,0.0,100
159,2005-08-18,88.32622528076172,inf,0.0,100
160,2005-08-19,88.52864074707031,inf,0.0,100
161,2005-08-22,88.52864074707031,inf,0.0,100
162,2005-08-23,88.36235809326172,inf,0.0,100
163,2005-08-24,87.574462890625,inf,0.0,100
164,2005-08-25,87.89254760742188,inf,0.0,100
165,2005-08-26,87.29255676269531,inf,0.0,100
166,2005-08-29,87.96480560302734,inf,0.0,100
167,2005-08-30,87.502197265625,inf,0.0,100
168,2005-08-31,88.608154296875,inf,0.0,100
169,2005-09-01,88.5431137084961,inf,0.0,100
170,2005-09-02,88.38407897949219,inf,0.0,100
171,2005-09-06,89.4177474975586,inf,0.0,100
172,2005-09-07,89.56954193115234,inf,0.0,100
173,2005-09-08,89.273193359375,inf,0.0,100
174,2005-09-09,90.06832122802734,inf,0.0,100
175,2005-09-12,89.88761138916016,inf,0.0,100
176,2005-09-13,89.38886260986328,inf,0.0,100
177,2005-09-14,89.06358337402344,inf,0.0,100
178,2005-09-15,89.02018737792969,inf,0.0,100
179,2005-09-16,89.65322875976562,inf,0.0,100
180,2005-09-19,89.35555267333984,inf,0.0,100
181,2005-09-20,88.60059356689453,inf,0.0,100
182,2005-09-21,87.7730484008789,inf,0.0,100
183,2005-09-22,88.0851821899414,inf,0.0,100
184,2005-09-23,88.15777587890625,inf,0.0,100
185,2005-09-26,88.25938415527344,inf,0.0,100
186,2005-09-27,88.23762512207031,inf,0.0,100
187,2005-09-28,88.32474517822266,inf,0.0,100
188,2005-09-29,89.04342651367188,inf,0.0,100
189,2005-09-30,89.31926727294922,inf,0.0,100
190,2005-10-03,88.9998550415039,inf,0.0,100
191,2005-10-04,87.99806213378906,inf,0.0,100
192,2005-10-05,86.84381866455078,inf,0.0,100
193,2005-10-06,86.53167724609375,inf,0.0,100
194,2005-10-07,86.82930755615234,inf,0.0,100
195,2005-10-10,86.09610748291016,inf,0.0,100
196,2005-10-11,85.97269439697266,inf,0.0,100
197,2005-10-12,85.2975845336914,inf,0.0,100
198,2005-10-13,85.24674224853516,inf,0.0,100
199,2005-10-14,86.14694213867188,inf,0.0,100
200,2005-10-17,86.46633911132812,inf,0.0,100
201,2005-10-18,85.52986907958984,inf,0.0,100
202,2005-10-19,86.95272064208984,inf,0.0,100
203,2005-10-20,85.42100524902344,inf,0.0,100
204,2005-10-21,85.75491333007812,inf,0.0,100
205,2005-10-24,87.0833740234375,inf,0.0,100
206,2005-10-25,86.90916442871094,inf,0.0,100
207,2005-10-26,86.6550521850586,inf,0.0,100
208,2005-10-27,85.73313903808594,inf,0.0,100
209,2005-10-28,86.96723937988281,inf,0.0,100
210,2005-10-31,87.20677947998047,inf,0.0,100
211,2005-11-01,87.46814727783203,inf,0.0,100
212,2005-11-02,88.38282775878906,inf,0.0,100
213,2005-11-03,88.76030731201172,inf,0.0,100
214,2005-11-04,88.6441650390625,inf,0.0,100
215,2005-11-07,88.73126220703125,inf,0.0,100
216,2005-11-08,88.73126220703125,inf,0.0,100
217,2005-11-09,88.84742736816406,inf,0.0,100
218,2005-11-10,89.53704071044922,inf,0.0,100
219,2005-11-11,89.84193420410156,inf,0.0,100
220,2005-11-14,89.79112243652344,inf,0.0,100
221,2005-11-15,89.46443939208984,inf,0.0,100
222,2005-11-16,89.64595031738281,inf,0.0,100
223,2005-11-17,90.48074340820312,inf,0.0,100
224,2005-11-18,90.83650207519531,inf,0.0,100
225,2005-11-21,91.29383850097656,inf,0.0,100
226,2005-11-22,91.68580627441406,inf,0.0,100
227,2005-11-23,92.21574401855469,inf,0.0,100
228,2005-11-25,92.28834533691406,inf,0.0,100
229,2005-11-28,91.63499450683594,inf,0.0,100
230,2005-11-29,91.53338623046875,inf,0.0,100
231,2005-11-30,91.03973388671875,inf,0.0,100
232,2005-12-01,91.96896362304688,inf,0.0,100
233,2005-12-02,92.0851058959961,inf,0.0,100
234,2005-12-05,91.88909149169922,inf,0.0,100
235,2005-12-06,92.06329345703125,inf,0.0,100
236,2005-12-07,91.52610778808594,inf,0.0,100
237,2005-12-08,91.468017578125,inf,0.0,100
238,2005-12-09,91.70763397216797,inf,0.0,100
239,2005-12-12,91.79472351074219,inf,0.0,100
240,2005-12-13,92.41902160644531,inf,0.0,100
241,2005-12-14,92.78199005126953,inf,0.0,100
242,2005-12-15,92.51338195800781,inf,0.0,100
243,2005-12-16,92.21562957763672,inf,0.0,100
244,2005-12-19,91.74128723144531,inf,0.0,100
245,2005-12-20,91.82887268066406,inf,0.0,100
246,2005-12-21,91.97480010986328,inf,0.0,100
247,2005-12-22,92.45645904541016,inf,0.0,100
248,2005-12-23,92.5075454711914,inf,0.0,100
249,2005-12-27,91.56612396240234,inf,0.0,100
250,2005-12-28,91.7704849243164,inf,0.0,100
251,2005-12-29,91.36178588867188,inf,0.0,100
252,2005-12-30,90.86550903320312,inf,0.0,100
253,2006-01-03,92.4637451171875,inf,0.0,100
254,2006-01-04,92.90164184570312,inf,0.0,100
255,2006-01-05,92.96000671386719,inf,0.0,100
256,2006-01-06,93.73360443115234,inf,0.0,100
257,2006-01-09,93.97442626953125,inf,0.0,100
258,2006-01-10,94.06929779052734,inf,0.0,100
259,2006-01-11,94.36846923828125,inf,0.0,100
260,2006-01-12,93.9963150024414,inf,0.0,100
261,2006-01-13,93.90873718261719,inf,0.0,100
262,2006-01-17,93.65330505371094,inf,0.0,100
263,2006-01-18,93.2811508178711,inf,0.0,100
264,2006-01-19,93.63870239257812,inf,0.0,100
265,2006-01-20,91.93101501464844,inf,0.0,100
266,2006-01-23,92.25940704345703,inf,0.0,100
267,2006-01-24,92.35431671142578,inf,0.0,100
268,2006-01-25,92.43458557128906,inf,0.0,100
269,2006-01-26,92.94542694091797,inf,0.0,100
270,2006-01-27,93.80656433105469,inf,0.0,100
271,2006-01-30,93.73360443115234,inf,0.0,100
272,2006-01-31,93.047607421875,inf,0.0,100
273,2006-02-01,93.69710540771484,inf,0.0,100
274,2006-02-02,92.60973358154297,inf,0.0,100
275,2006-02-03,92.14996337890625,inf,0.0,100
276,2006-02-06,92.39076232910156,inf,0.0,100
277,2006-02-07,91.57341003417969,inf,0.0,100
278,2006-02-08,92.4053726196289,inf,0.0,100
279,2006-02-09,92.25213623046875,inf,0.0,100
280,2006-02-10,92.41997528076172,inf,0.0,100
281,2006-02-13,92.25213623046875,inf,0.0,100
282,2006-02-14,93.23004913330078,inf,0.0,100
283,2006-02-15,93.55844116210938,inf,0.0,100
284,2006-02-16,94.25904083251953,inf,0.0,100
285,2006-02-17,94.00360870361328,inf,0.0,100
286,2006-02-21,93.77008056640625,inf,0.0,100
287,2006-02-22,94.3393325805664,inf,0.0,100
288,2006-02-23,94.20065307617188,inf,0.0,100
289,2006-02-24,94.44146728515625,inf,0.0,100
290,2006-02-27,94.47795104980469,inf,0.0,100
291,2006-02-28,93.5803451538086,inf,0.0,100
292,2006-03-01,94.41229248046875,inf,0.0,100
293,2006-03-02,94.40497589111328,inf,0.0,100
294,2006-03-03,93.96710968017578,inf,0.0,100
295,2006-03-06,93.5365219116211,inf,0.0,100
296,2006-03-07,93.39060974121094,inf,0.0,100
297,2006-03-08,93.58763122558594,inf,0.0,100
298,2006-03-09,92.96000671386719,inf,0.0,100
299,2006-03-10,93.84303283691406,inf,0.0,100
300,2006-03-13,94.0181884765625,inf,0.0,100
301,2006-03-14,95.00340270996094,inf,0.0,100
302,2006-03-15,95.42669677734375,inf,0.0,100
303,2006-03-16,95.62374114990234,inf,0.0,100
304,2006-03-17,95.70357513427734,inf,0.0,100
305,2006-03-20,95.54972076416016,inf,0.0,100
306,2006-03-21,94.94893646240234,inf,0.0,100
307,2006-03-22,95.52774810791016,inf,0.0,100
308,2006-03-23,95.32989501953125,inf,0.0,100
309,2006-03-24,95.40320587158203,inf,0.0,100
310,2006-03-27,95.26395416259766,inf,0.0,100
311,2006-03-28,94.67780303955078,inf,0.0,100
312,2006-03-29,95.27129364013672,inf,0.0,100
313,2006-03-30,95.1028060913086,inf,0.0,100
314,2006-03-31,95.12474822998047,inf,0.0,100
315,2006-04-03,95.05146789550781,inf,0.0,100
316,2006-04-04,95.65961456298828,inf,0.0,100
317,2006-04-05,95.98933410644531,inf,0.0,100
318,2006-04-06,95.88677215576172,inf,0.0,100
319,2006-04-07,94.91228485107422,inf,0.0,100
320,2006-04-10,95.05880737304688,inf,0.0,100
321,2006-04-11,94.25287628173828,inf,0.0,100
322,2006-04-12,94.4287338256836,inf,0.0,100
323,2006-04-13,94.30415344238281,inf,0.0,100
324,2006-04-17,94.26753997802734,inf,0.0,100
325,2006-04-18,95.76219177246094,inf,0.0,100
326,2006-04-19,95.94538116455078,inf,0.0,100
327,2006-04-20,96.07726287841797,inf,0.0,100
328,2006-04-21,96.0918960571289,inf,0.0,100
329,2006-04-24,95.91609954833984,inf,0.0,100
330,2006-04-25,95.52042388916016,inf,0.0,100
331,2006-04-26,95.54239654541016,inf,0.0,100
332,2006-04-27,96.00397491455078,inf,0.0,100
333,2006-04-28,96.32637786865234,inf,0.0,100
334,2006-05-01,95.54239654541016,inf,0.0,100
335,2006-05-02,96.26044464111328,inf,0.0,100
336,2006-05-03,95.90141296386719,inf,0.0,100
337,2006-05-04,96.24580383300781,inf,0.0,100
338,2006-05-05,97.0956802368164,inf,0.0,100
339,2006-05-08,96.97846984863281,inf,0.0,100
340,2006-05-09,97.16897583007812,inf,0.0,100
341,2006-05-10,97.11766815185547,inf,0.0,100
342,2006-05-11,95.94538116455078,inf,0.0,100
343,2006-05-12,94.69248962402344,inf,0.0,100
