,Date,upro,tmf,gld,portfolio,upro_rb,tmf_rb,gld_rb,portfolio_rb
0,2009-12-31,4.079390525817871,6.799966335296631,107.30999755859375,100.0,4.079390525817871,6.799966335296631,107.30999755859375,100.0
1,2010-01-04,4.284617900848389,6.808685302734375,109.80000305175781,102.44995643336223,4.079390525817871,6.799966335296631,107.30999755859375,100.0
2,2010-01-05,4.32144021987915,6.948171615600586,109.69999694824219,103.14184013814508,4.079390525817871,6.799966335296631,107.30999755859375,100.0
3,2010-01-06,4.333895206451416,6.65830135345459,111.51000213623047,102.99581756624686,4.079390525817871,6.799966335296631,107.30999755859375,100.0
4,2010-01-07,4.386692047119141,6.65830135345459,110.81999969482422,102.99787634554822,4.079390525817871,6.799966335296631,107.30999755859375,100.0
5,2010-01-08,4.429470062255859,6.623429298400879,111.37000274658203,103.38809729655934,4.079390525817871,6.799966335296631,107.30999755859375,100.0
6,2010-01-11,4.4451751708984375,6.536250591278076,112.8499984741211,103.85342134774702,4.079390525817871,6.799966335296631,107.30999755859375,100.0
7,2010-01-12,4.3244194984436035,6.878427028656006,110.48999786376953,103.27177593430783,4.079390525817871,6.799966335296631,107.30999755859375,100.0
8,2010-01-13,4.4346137046813965,6.621250152587891,111.54000091552734,103.49081673177393,4.079390525817871,6.799966335296631,107.30999755859375,100.0
9,2010-01-14,4.467646598815918,6.891505718231201,112.02999877929688,104.91515548113455,4.079390525817871,6.799966335296631,107.30999755859375,100.0
10,2010-01-15,4.319545745849609,7.017914772033691,110.86000061035156,103.92713192713121,4.079390525817871,6.799966335296631,107.30999755859375,100.0
11,2010-01-19,4.481453895568848,6.989582061767578,111.5199966430664,105.1227179336632,4.079390525817871,6.799966335296631,107.30999755859375,100.0
12,2010-01-20,4.345808029174805,7.177016735076904,108.94000244140625,103.77840982213561,4.079390525817871,6.799966335296631,107.30999755859375,100.0
13,2010-01-21,4.091302871704102,7.331758499145508,107.37000274658203,102.05608995540909,4.079390525817871,6.799966335296631,107.30999755859375,100.0
14,2010-01-22,3.8259682655334473,7.272913932800293,107.16999816894531,100.12049077557292,4.079390525817871,6.799966335296631,107.30999755859375,100.0
15,2010-01-25,3.8730781078338623,7.150862693786621,107.4800033569336,100.10492089897858,4.079390525817871,6.799966335296631,107.30999755859375,100.0
16,2010-01-26,3.82434344291687,7.157402038574219,107.55999755859375,99.86757132498437,4.079390525817871,6.799966335296631,107.30999755859375,100.0
17,2010-01-27,3.88147234916687,7.168298721313477,106.52999877929688,99.77782229207673,4.079390525817871,6.799966335296631,107.30999755859375,100.0
18,2010-01-28,3.745556116104126,7.094196319580078,106.4800033569336,98.6491463036304,4.079390525817871,6.799966335296631,107.30999755859375,100.0
19,2010-01-29,3.6229050159454346,7.299066543579102,105.95999908447266,98.40840780670213,4.079390525817871,6.799966335296631,107.30999755859375,100.0
20,2010-02-01,3.7923946380615234,7.0985565185546875,108.3499984741211,99.82352532421783,4.079390525817871,6.799966335296631,107.30999755859375,100.0
