,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.05118999483949427,0.01275879669804425,0.037971441255814975,0.019212144787684293,0.02360986479100391,-0.013344481723203683,0.05167674503504438,-0.029992242360954102,0.03164636730699932,0.04630667239472075,0.029637754583369702,0.025926692648386096,0.3230777433673542
2014,-0.035248686872137225,0.04551613584018144,0.008295386692355855,0.006951330872160266,0.023206555763698233,0.020644775171475782,-0.013437453207915118,0.039463547109634955,-0.013796338572471756,0.023550881324000184,0.027471766989315194,-0.002536326686367496,0.13463775210702078
2015,-0.02962927257866943,0.05620462974332385,-0.01570557944156492,0.009833786608037798,0.012856281454421525,-0.020312378474656723,0.02258941654505997,-0.06095023355146956,-0.025516057368659473,0.08505981226215065,0.003655234251781936,-0.01728265075784652,0.012342725511859776
2016,-0.049786483768029965,-0.0008258304721422416,0.06726587835002173,0.003941269974478967,0.017011432676668825,0.0034762898141358356,0.03647078550666194,0.0011977494513710774,5.799758829283519e-05,-0.017336939312920352,0.03683806515379606,0.020272090942621945,0.11997924021284057
2017,0.017894660451348132,0.0392913924821956,0.0012500291708725797,0.009926134742077153,0.014112736226747469,0.006375210780174445,0.020554056362083628,0.0029177901724151134,0.020149383788368835,0.023563998119842333,0.030566086413348126,0.012127913236369858,0.2170540276691013
2018,0.05635894819574472,-0.0363603464621709,-0.027410443002939044,0.005167974970882616,0.024309254269139213,0.005750982384591596,0.037046499332154426,0.031919908337820546,0.005945360861251192,-0.06910425908272333,0.01854929319040055,-0.08804850195600744,-0.04569008758907167
2019,0.08006559672450497,0.032415893776707394,0.01810043820270657,0.04085232109135628,-0.06377103109396576,0.06958652446197533,0.015119315861106042,-0.01674340911844252,0.019457815445674154,0.022104798745889997,0.036198162357125474,0.02905550936503687,0.31223862340122155
2020,-0.00040383010243150164,-0.07916583521344567,-0.12487109918870909,0.126983290919241,0.04764524634837697,0.0177344643472217,0.05889240215137059,0.06979660954473799,-0.03744356784070313,-0.024933606025136168,0.10877684034128143,0.03704827056404736,0.1833161596246633
2021,-0.010190287291958589,0.02780544196017387,0.04539929643720919,0.052910383750110146,0.006566134405620927,0.022427403458145978,0.024412530116608044,0.029759830842219337,-0.046605454451810524,0.07016348589114396,-0.008034799102348389,0.048891168845154986,0.29054014262862116
