,0
start,2010-02-11 00:00:00
end,2022-01-24 00:00:00
rf,0.0
total_return,2.8015566855788845
cagr,0.11822557814929113
max_drawdown,-0.5694060525892868
calmar,0.20762964779120002
mtd,-0.08937453604116297
three_month,-0.018883753592224717
six_month,-0.11034384342176662
ytd,-0.08937453604116297
one_year,-0.17749850910707377
three_year,0.12336740163430004
five_year,0.08288318207333334
ten_year,0.05820409430742557
incep,0.11822557814929113
daily_sharpe,0.4752909584934837
daily_sortino,0.7950262836636871
daily_mean,0.2056049358783445
daily_vol,0.4325875176124635
daily_skew,-0.0011968554129438316
daily_kurt,4.462753217801664
best_day,0.20358720387168772
worst_day,-0.1814072827587574
monthly_sharpe,0.4583997351510808
monthly_sortino,1.0272127131677622
monthly_mean,0.17938331768474525
monthly_vol,0.3913250901543901
monthly_skew,0.7789776349340333
monthly_kurt,0.90827687360522
best_month,0.4135428142931419
worst_month,-0.2390669998146645
yearly_sharpe,0.3815633796972322
yearly_sortino,1.4808215543273588
yearly_mean,0.17618927467003562
yearly_vol,0.46175624822759603
yearly_skew,1.0787353052990487
yearly_kurt,0.32434770066646834
best_year,1.091790837665791
worst_year,-0.39002901629677067
avg_drawdown,-0.13049835506339102
avg_drawdown_days,118.38888888888889
avg_up_month,0.10134391992522149
avg_down_month,-0.07266353566487417
win_year_perc,0.5
twelve_month_win_perc,0.5714285714285714
