,Date,tqqq,upro,tmf,gld,portfolio,tqqq_rb,upro_rb,tmf_rb,gld_rb,portfolio_rb
0,2010-02-11,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
1,2010-02-12,1.7372900247573853,3.760499954223633,7.820000171661377,107.04000091552734,100.4203276645573,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
2,2010-02-16,1.8045799732208252,3.940279960632324,7.889999866485596,109.62000274658203,103.13237127267844,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
3,2010-02-17,1.8352099657058716,3.9952800273895264,7.637499809265137,109.25,102.59808958587367,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
4,2010-02-18,1.8700000047683716,4.07082986831665,7.507500171661377,109.9800033569336,103.01227766656487,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
5,2010-02-19,1.8700000047683716,4.097439765930176,7.625,109.47000122070312,103.61935578853432,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
6,2010-02-22,1.8568799495697021,4.090859889984131,7.567500114440918,109.06999969482422,103.07176605787794,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
7,2010-02-23,1.7843799591064453,3.9436099529266357,7.9349799156188965,107.88999938964844,102.78139141239203,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
8,2010-02-24,1.8383300304412842,4.054440021514893,7.954999923706055,107.36000061035156,104.1082514585254,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
9,2010-02-25,1.8372900485992432,4.040830135345459,8.100000381469727,108.30999755859375,104.86805317409011,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
10,2010-02-26,1.8602099418640137,4.049170017242432,8.220000267028809,109.43000030517578,105.97591432220139,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
11,2010-03-01,1.940000057220459,4.171110153198242,8.220000267028809,109.43000030517578,107.70189357557354,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
12,2010-03-02,1.9516700506210327,4.199999809265137,8.177499771118164,111.0199966430664,108.11779634462599,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
13,2010-03-03,1.962499976158142,4.216670036315918,8.102499961853027,111.62999725341797,108.1174654419709,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
14,2010-03-04,1.9841699600219727,4.253890037536621,8.217499732971191,110.83000183105469,108.99620624208868,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
15,2010-03-05,2.0718801021575928,4.438889980316162,7.885000228881836,110.80999755859375,109.63905375628404,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
16,2010-03-08,2.0829200744628906,4.438330173492432,7.777500152587891,109.87999725341797,109.10205716171004,1.7302099466323853,3.770829916000366,7.732500076293945,107.12999725341797,100.0
