,0
start,2010-02-11 00:00:00
end,2024-01-22 00:00:00
rf,0.0
total_return,128.74337801945543
cagr,0.4175624128220099
max_drawdown,-0.8165984835422666
calmar,0.511343605502051
mtd,0.08007884610450566
three_month,0.6133879798310276
six_month,0.2929054416754391
ytd,0.08007884610450566
one_year,1.73131317705458
three_year,0.03661031889776889
five_year,0.39497617544466124
ten_year,0.35701746104087495
incep,0.4175624128220099
daily_sharpe,0.8830719128813675
daily_sortino,1.3969046846122921
daily_mean,0.537755551575594
daily_vol,0.6089600900349738
daily_skew,-0.3728110361561439
daily_kurt,5.966395530989235
best_day,0.2698839431905633
worst_day,-0.34465169701357745
monthly_sharpe,0.9071735683542137
monthly_sortino,1.7730065803849329
monthly_mean,0.5011365245189028
monthly_vol,0.5524152620849174
monthly_skew,-0.10020549605419547
monthly_kurt,0.0486722097772736
best_month,0.46452550891815725
worst_month,-0.3812986458646387
yearly_sharpe,0.7751145371093706
yearly_sortino,2.756527257668057
yearly_mean,0.5869879259180245
yearly_vol,0.7572918553522098
yearly_skew,0.06540562048638941
yearly_kurt,-0.47493167281525794
best_year,1.9804866907208485
worst_year,-0.7909001606592403
avg_drawdown,-0.06923713234533001
avg_drawdown_days,26.146198830409357
avg_up_month,0.14222164685028355
avg_down_month,-0.11588396942319266
win_year_perc,0.7857142857142857
twelve_month_win_perc,0.802547770700637
