,Date,gld,spy,tlt,portfolio,gld_rb,spy_rb,tlt_rb,portfolio_rb
0,2004-12-31,43.79999923706055,87.5490493774414,52.233482360839844,100.0,43.79999923706055,87.5490493774414,52.233482360839844,100.0
1,2005-01-03,43.02000045776367,87.13621520996094,52.345558166503906,99.3207338910041,43.79999923706055,87.5490493774414,52.233482360839844,100.0
2,2005-01-04,42.7400016784668,86.07144165039062,51.796932220458984,98.35213296148001,43.79999923706055,87.5490493774414,52.233482360839844,100.0
3,2005-01-05,42.66999816894531,85.47749328613281,52.07422637939453,98.24967667724232,43.79999923706055,87.5490493774414,52.233482360839844,100.0
4,2005-01-06,42.150001525878906,85.91207885742188,52.10961151123047,98.04198606159798,43.79999923706055,87.5490493774414,52.233482360839844,100.0
5,2005-01-07,41.84000015258789,85.78895568847656,52.227603912353516,97.83448443650607,43.79999923706055,87.5490493774414,52.233482360839844,100.0
6,2005-01-10,41.95000076293945,86.19458770751953,52.31019973754883,98.12534803755133,43.79999923706055,87.5490493774414,52.233482360839844,100.0
7,2005-01-11,42.209999084472656,85.6006088256836,52.61692428588867,98.29280438978559,43.79999923706055,87.5490493774414,52.233482360839844,100.0
8,2005-01-12,42.599998474121094,85.88311767578125,52.68767547607422,98.74232030582499,43.79999923706055,87.5490493774414,52.233482360839844,100.0
9,2005-01-13,42.599998474121094,85.19502258300781,53.194976806640625,98.8040752564495,43.79999923706055,87.5490493774414,52.233482360839844,100.0
10,2005-01-14,42.31999969482422,85.64405059814453,53.1890983581543,98.75819744334602,43.79999923706055,87.5490493774414,52.233482360839844,100.0
11,2005-01-18,42.31999969482422,86.53500366210938,53.36604690551758,99.21033951264461,43.79999923706055,87.5490493774414,52.233482360839844,100.0
12,2005-01-19,42.2599983215332,85.62962341308594,53.519447326660156,98.91785689338636,43.79999923706055,87.5490493774414,52.233482360839844,100.0
13,2005-01-20,42.25,85.10807037353516,53.625614166259766,98.77942372199303,43.79999923706055,87.5490493774414,52.233482360839844,100.0
14,2005-01-21,42.7400016784668,84.58657836914062,53.684566497802734,98.9914008761704,43.79999923706055,87.5490493774414,52.233482360839844,100.0
15,2005-01-24,42.77000045776367,84.4200210571289,53.914649963378906,99.09764626840176,43.79999923706055,87.5490493774414,52.233482360839844,100.0
