,0
start,2010-02-11 00:00:00
end,2021-11-02 00:00:00
rf,0.0
total_return,12.96006995659165
cagr,0.2521538175272888
max_drawdown,-0.3130153943954562
calmar,0.8055636305501437
mtd,0.004858857788350379
three_month,0.024785715191332214
six_month,0.1802091655542699
ytd,0.11866797833287124
one_year,0.2813291090892309
three_year,0.42244943193368756
five_year,0.271843735929552
ten_year,0.20652408719394755
incep,0.2521538175272888
daily_sharpe,1.316497129323017
daily_sortino,2.094264000056041
daily_mean,0.2421231975757816
daily_vol,0.183914717459573
daily_skew,-0.6163172958065689
daily_kurt,6.52100365462335
best_day,0.07529497376816274
worst_day,-0.10411457061475204
monthly_sharpe,1.3759671211211058
monthly_sortino,3.0375992223323567
monthly_mean,0.23670806240435116
monthly_vol,0.1720303187270107
monthly_skew,-0.020613645612138635
monthly_kurt,-0.12562412773361853
best_month,0.16252804995080128
worst_month,-0.09278754446487492
yearly_sharpe,1.0490514672151205
yearly_sortino,11.721058589040897
yearly_mean,0.24618425166740668
yearly_vol,0.234673187504273
yearly_skew,0.1840998511020522
yearly_kurt,-1.2114055997848037
best_year,0.6336640103034414
worst_year,-0.06010285875598753
avg_drawdown,-0.02648859609541967
avg_drawdown_days,23.719745222929937
avg_up_month,0.047448510372854316
avg_down_month,-0.0339873277380068
win_year_perc,0.8181818181818182
twelve_month_win_perc,0.916030534351145
