,0
start,2012-12-31 00:00:00
end,2022-01-12 00:00:00
rf,0.0
total_return,0.2738335078341907
cagr,0.027158791919965175
max_drawdown,-0.14903362068519854
calmar,0.18223265190162882
mtd,-0.017826652689839295
three_month,0.007848888388342079
six_month,-0.0051312354278154615
ytd,-0.017826652689839295
one_year,-0.02184308010422309
three_year,0.07337068358566423
five_year,0.052842986175431816
ten_year,0.027158791919965175
incep,0.027158791919965175
daily_sharpe,0.3504781057443455
daily_sortino,0.5764532650545883
daily_mean,0.030644116232584784
daily_vol,0.08743517991659651
daily_skew,-0.04160662552259959
daily_kurt,5.027118478649719
best_day,0.043187575460856165
worst_day,-0.03452900859310515
monthly_sharpe,0.36586458778919845
monthly_sortino,0.7004943635674282
monthly_mean,0.02997733646436627
monthly_vol,0.08193560531646321
monthly_skew,0.3623703053124507
monthly_kurt,0.991336217794998
best_month,0.07546170579384137
worst_month,-0.061450196606104734
yearly_sharpe,0.3076937361761487
yearly_sortino,0.6613682143437098
yearly_mean,0.028250702168476572
yearly_vol,0.09181435579274709
yearly_skew,-0.22427496069185773
yearly_kurt,-0.5028625654561041
best_year,0.15702358936457128
worst_year,-0.13836457974463756
avg_drawdown,-0.028761991011150696
avg_drawdown_days,103.41935483870968
avg_up_month,0.01902507382017548
avg_down_month,-0.016297257686644133
win_year_perc,0.5
twelve_month_win_perc,0.6363636363636364
