,Date,tlt,gld,bil,portfolio,tlt_rb,gld_rb,bil_rb,portfolio_rb
0,2012-12-31,97.8836898803711,162.02000427246094,87.3672103881836,100.0,97.8836898803711,162.02000427246094,87.3672103881836,100.0
1,2013-01-02,96.57508850097656,163.1699981689453,87.3672103881836,99.50899917888296,97.8836898803711,162.02000427246094,87.3672103881836,100.0
2,2013-01-03,95.26653289794922,161.1999969482422,87.3672103881836,98.53660046026877,97.8836898803711,162.02000427246094,87.3672103881836,100.0
3,2013-01-04,95.63809204101562,160.44000244140625,87.38627624511719,98.61458375400629,97.8836898803711,162.02000427246094,87.3672103881836,100.0
4,2013-01-07,95.678466796875,159.42999267578125,87.34812927246094,98.46844543557819,97.8836898803711,162.02000427246094,87.3672103881836,100.0
5,2013-01-08,96.30852508544922,160.55999755859375,87.34812927246094,98.96464765714445,97.8836898803711,162.02000427246094,87.3672103881836,100.0
6,2013-01-09,96.21966552734375,160.49000549316406,87.34812927246094,98.90845736582298,97.8836898803711,162.02000427246094,87.3672103881836,100.0
7,2013-01-10,95.95309448242188,161.97999572753906,87.34812927246094,99.0021984969564,97.8836898803711,162.02000427246094,87.3672103881836,100.0
8,2013-01-11,96.80931091308594,161.05999755859375,87.34812927246094,99.29760519836175,97.8836898803711,162.02000427246094,87.3672103881836,100.0
9,2013-01-14,96.54278564453125,161.5399932861328,87.34812927246094,99.23552560683923,97.8836898803711,162.02000427246094,87.3672103881836,100.0
10,2013-01-15,96.98705291748047,162.55999755859375,87.34812927246094,99.61985055135466,97.8836898803711,162.02000427246094,87.3672103881836,100.0
11,2013-01-16,97.18896484375,162.64999389648438,87.34812927246094,99.7368758581751,97.8836898803711,162.02000427246094,87.3672103881836,100.0
12,2013-01-17,96.21966552734375,163.35000610351562,87.3672103881836,99.35522102460865,97.8836898803711,162.02000427246094,87.3672103881836,100.0
13,2013-01-18,96.96280670166016,163.08999633789062,87.34812927246094,99.68924517047651,97.8836898803711,162.02000427246094,87.3672103881836,100.0
14,2013-01-22,97.1485595703125,163.6699981689453,87.34812927246094,99.87362505897927,97.8836898803711,162.02000427246094,87.3672103881836,100.0
15,2013-01-23,97.00320434570312,163.2100067138672,87.34812927246094,99.7283985374993,97.8836898803711,162.02000427246094,87.3672103881836,100.0
16,2013-01-24,96.66390228271484,161.4199981689453,87.3672103881836,99.28433779166933,97.8836898803711,162.02000427246094,87.3672103881836,100.0
17,2013-01-25,95.3392105102539,160.64999389648438,87.34812927246094,98.48339836740224,97.8836898803711,162.02000427246094,87.3672103881836,100.0
18,2013-01-28,94.99186706542969,160.2899932861328,87.34812927246094,98.2504229570725,97.8836898803711,162.02000427246094,87.3672103881836,100.0
19,2013-01-29,94.46685028076172,160.99000549316406,87.34812927246094,98.09025219700501,97.8836898803711,162.02000427246094,87.3672103881836,100.0
