,0
start,2004-12-31 00:00:00
end,2021-07-06 00:00:00
rf,0.0
total_return,1.110967418323661
cagr,0.04628808952305552
max_drawdown,-0.10401389779828918
calmar,0.44501831488730986
mtd,0.008205369166913723
three_month,0.026444120128289228
six_month,-0.01837411904743358
ytd,-0.026148438323100986
one_year,-0.03494470347853751
three_year,0.05962584303844398
five_year,0.021857481358166897
ten_year,0.03787451479603754
incep,0.04628808952305552
daily_sharpe,0.7363872606157078
daily_sortino,1.2581183718963902
daily_mean,0.04738735975481982
daily_vol,0.06435114007159538
daily_skew,0.13490933484855774
daily_kurt,3.543720992797543
best_day,0.03426220642345501
worst_day,-0.02507251888722395
monthly_sharpe,0.7732188931091365
monthly_sortino,1.6175139171844362
monthly_mean,0.04695871038861432
monthly_vol,0.06073145755633561
monthly_skew,0.41753405878460415
monthly_kurt,1.379844369689775
best_month,0.07753885308129482
worst_month,-0.04402743151301647
yearly_sharpe,0.6841161346763446
yearly_sortino,2.1931242141965885
yearly_mean,0.047047254643096136
yearly_vol,0.06877085959294645
yearly_skew,0.19878337243067887
yearly_kurt,-0.3633380382777678
best_year,0.17917396655247053
worst_year,-0.06593244666626641
avg_drawdown,-0.013666170744689376
avg_drawdown_days,47.083333333333336
avg_up_month,0.015662191771022377
avg_down_month,-0.010607967949827046
win_year_perc,0.8235294117647058
twelve_month_win_perc,0.7407407407407407
