,0
start,2005-01-03 00:00:00
end,2025-03-27 00:00:00
rf,0.0
total_return,0.9018246227251783
cagr,0.03228996890530156
max_drawdown,-0.48351157868343964
calmar,0.06678220404405694
mtd,-0.035055304416487076
three_month,0.027647042016943013
six_month,-0.0791865123434915
ytd,0.024940461940408554
one_year,-0.02222978465769221
three_year,-0.08807269884988878
five_year,-0.0957641439831659
ten_year,-0.0132580910220359
incep,0.03228996890530156
daily_sharpe,0.28924165819512543
daily_sortino,0.4869680015950323
daily_mean,0.04273371571521677
daily_vol,0.14774398674753886
daily_skew,0.0917837899685392
daily_kurt,3.474936474341387
best_day,0.07519569340732524
worst_day,-0.0666827525091579
monthly_sharpe,0.2862097564798763
monthly_sortino,0.5497184133873864
monthly_mean,0.039793590765555595
monthly_vol,0.13903645792855257
monthly_skew,0.4284770545488713
monthly_kurt,1.2786534235959897
best_month,0.14341354683032637
worst_month,-0.13070854251929154
yearly_sharpe,0.24988918162857357
yearly_sortino,0.48721352143042485
yearly_mean,0.04155032779980285
yearly_vol,0.1662750165053635
yearly_skew,-0.006825485303926789
yearly_kurt,0.3051308003283246
best_year,0.3400116925208947
worst_year,-0.31234531382762654
avg_drawdown,-0.044501808963027106
avg_drawdown_days,105.61764705882354
avg_up_month,0.03288634548851606
avg_down_month,-0.028275975261758984
win_year_perc,0.65
twelve_month_win_perc,0.6077586206896551
