Date,qqq,tqqq
2010-02-11,38.97039794921875,0.862942099571228
2010-02-12,39.05070495605469,0.8664752840995789
2010-02-16,39.55044937133789,0.9000371098518372
2010-02-17,39.77354431152344,0.9153109192848206
2010-02-18,40.023406982421875,0.9326633810997009
2010-02-19,40.00557327270508,0.9326633810997009
2010-02-22,39.92525100708008,0.9261178374290466
2010-02-23,39.40766143798828,0.889958381652832
2010-02-24,39.80924987792969,0.9168698787689209
2010-02-25,39.80031204223633,0.9163501858711243
2010-02-26,39.9431037902832,0.9277796149253845
2010-03-01,40.52315902709961,0.9675759077072144
2010-03-02,40.6480827331543,0.9733943343162537
2010-03-03,40.69269561767578,0.9787977933883667
2010-03-04,40.826568603515625,0.9896036982536316
2010-03-05,41.44230270385742,1.0333492755889893
2010-03-08,41.522621154785156,1.0388553142547607
2010-03-09,41.75461959838867,1.057247281074524
2010-03-10,42.09374237060547,1.08311927318573
2010-03-11,42.254371643066406,1.0930944681167603
2010-03-12,42.26328659057617,1.095588207244873
2010-03-15,42.15620803833008,1.0882117748260498
2010-03-16,42.423919677734375,1.1087849140167236
2010-03-17,42.53993225097656,1.116473913192749
2010-03-18,42.682708740234375,1.1277995109558105
2010-03-19,42.42454528808594,1.1078495979309082
2010-03-22,42.80866241455078,1.1377744674682617
2010-03-23,43.10346603393555,1.1615688800811768
2010-03-24,42.89800262451172,1.1450482606887817
2010-03-25,42.83548355102539,1.1378782987594604
2010-03-26,42.88014221191406,1.1438013315200806
2010-03-29,43.085609436035156,1.1594910621643066
2010-03-30,43.22854232788086,1.171647548675537
2010-03-31,43.0230712890625,1.1558542251586914
2010-04-01,43.0230712890625,1.1535680294036865
2010-04-05,43.42507553100586,1.1869224309921265
2010-04-06,43.55014419555664,1.195961594581604
2010-04-07,43.44293975830078,1.189208745956421
2010-04-08,43.54120635986328,1.1934679746627808
2010-04-09,43.800270080566406,1.2149770259857178
2010-04-12,43.83601760864258,1.2198609113693237
2010-04-13,44.05935287475586,1.238251805305481
2010-04-14,44.58641815185547,1.2818925380706787
2010-04-15,44.782955169677734,1.2990375757217407
2010-04-16,44.246944427490234,1.252799391746521
2010-04-19,44.22014617919922,1.2508240938186646
2010-04-20,44.44347381591797,1.2693198919296265
2010-04-21,44.693599700927734,1.291659951210022
2010-04-22,44.94374084472656,1.3107789754867554
2010-04-23,45.131351470947266,1.3281304836273193
2010-04-26,45.033077239990234,1.3182601928710938
2010-04-27,44.07722473144531,1.2369011640548706
2010-04-28,44.10401153564453,1.239810824394226
2010-04-29,44.872283935546875,1.3030892610549927
2010-04-30,43.987892150878906,1.2263028621673584
2010-05-03,44.604278564453125,1.2763851881027222
2010-05-04,43.264278411865234,1.1635431051254272
2010-05-05,43.04093933105469,1.1444249153137207
2010-05-06,41.602664947509766,1.0323097705841064
2010-05-07,40.56639862060547,0.957184910774231
2010-05-10,42.6746711730957,1.099952220916748
2010-05-11,42.62999725341797,1.0992251634597778
2010-05-12,43.43400955200195,1.158451795578003
2010-05-13,42.74613571166992,1.1060829162597656
2010-05-14,41.92426300048828,1.0380243062973022
2010-05-17,42.058265686035156,1.0520522594451904
2010-05-18,41.47759246826172,1.0118399858474731
2010-05-19,41.147064208984375,0.9851359128952026
2010-05-20,39.619468688964844,0.8854895830154419
2010-05-21,40.057193756103516,0.8923472762107849
2010-05-24,39.896400451660156,0.8997249007225037
2010-05-25,39.93213653564453,0.8933867812156677
2010-05-26,39.48548126220703,0.8657480478286743
2010-05-27,40.977325439453125,0.9594712257385254
2010-05-28,40.73612976074219,0.9460678100585938
2010-06-01,40.36093521118164,0.9198833703994751
2010-06-02,41.31680679321289,0.984616219997406
2010-06-03,41.70986557006836,1.0101770162582397
2010-06-04,40.28052520751953,0.9104270935058594
2010-06-07,39.547996520996094,0.8576433062553406
2010-06-08,39.47653579711914,0.8528632521629333
2010-06-09,39.14598846435547,0.8340564966201782
2010-06-10,40.262672424316406,0.9032580256462097
2010-06-11,40.64678955078125,0.9268448948860168
2010-06-14,40.637855529785156,0.9273645281791687
2010-06-15,41.72773742675781,0.9951109290122986
2010-06-16,41.8974723815918,1.0151644945144653
2010-06-17,42.031471252441406,1.0253483057022095
2010-06-18,42.06637954711914,1.0281530618667603
2010-06-21,41.70836639404297,1.0011377334594727
2010-06-22,41.38616180419922,0.9774472117424011
2010-06-23,41.21611022949219,0.964354932308197
2010-06-24,40.58958053588867,0.9175971150398254
2010-06-25,40.5976448059082,0.9169736504554749
2010-06-28,40.45418167114258,0.9087651968002319
2010-06-29,38.89373779296875,0.8073523044586182
2010-06-30,38.30187225341797,0.7674522995948792
2010-07-01,38.19424819946289,0.7599709630012512
2010-07-02,38.086631774902344,0.7558144330978394
2010-07-06,38.20323181152344,0.7597635388374329
2010-07-07,39.4228630065918,0.8315626382827759
2010-07-08,39.63810348510742,0.8455895185470581
2010-07-09,40.014747619628906,0.869280219078064
2010-07-12,40.13133239746094,0.879151463508606
2010-07-13,40.65145492553711,0.909180223941803
2010-07-14,40.85773849487305,0.923727810382843
2010-07-15,40.89358901977539,0.9269486665725708
2010-07-16,39.763641357421875,0.8523436188697815
2010-07-19,40.10442352294922,0.8715663552284241
2010-07-20,40.588680267333984,0.8991014361381531
2010-07-21,40.032657623291016,0.8676182627677917
2010-07-22,41.046058654785156,0.9261178374290466
2010-07-23,41.30611801147461,0.9502233266830444
2010-07-26,41.64690017700195,0.9711089134216309
2010-07-27,41.62895202636719,0.9709005951881409
2010-07-28,41.297157287597656,0.9510552883148193
2010-07-29,40.992225646972656,0.9284030199050903
